phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta
Resp,phecode_481-4,Pulmonary fibrosis,"0.707 (0.683, 0.739)","0.699 (0.677, 0.729)","-0.008 (-0.027, 0.011)"
Cardio,phecode_400-2,Chronic rheumatic heart diseases,"0.713 (0.702, 0.727)","0.706 (0.695, 0.721)","-0.008 (-0.017, 0)"
Genitourinary,phecode_580-3,Nephrotic syndrome,"0.54 (0.51, 0.577)","0.535 (0.498, 0.57)","-0.007 (-0.038, 0.02)"
Hearing,phecode_394-22,Vestibular neuronitis,"0.553 (0.523, 0.575)","0.546 (0.515, 0.568)","-0.007 (-0.028, 0.014)"
Neuro,phecode_324-4,Tremor,"0.628 (0.617, 0.642)","0.62 (0.61, 0.633)","-0.007 (-0.017, 0)"
Genitourinary,phecode_628-2,Corpus luteum cyst or hematoma,"0.588 (0.569, 0.603)","0.58 (0.567, 0.595)","-0.007 (-0.014, -0.001)"
Derm,phecode_660-21,Impetigo,"0.517 (0.491, 0.538)","0.51 (0.494, 0.53)","-0.007 (-0.023, 0.011)"
Musc/Skel,phecode_721-11,Trigger finger,"0.581 (0.571, 0.591)","0.573 (0.564, 0.583)","-0.007 (-0.013, -0.002)"
GI,phecode_514-1,Esophageal obstruction (Stricture and stenosis of esophagus),"0.628 (0.61, 0.65)","0.621 (0.603, 0.644)","-0.007 (-0.018, 0.005)"
Neuro,phecode_329-41,Attention and concentration deficit,"0.675 (0.641, 0.721)","0.669 (0.631, 0.714)","-0.007 (-0.017, 0.004)"
Cardio,phecode_416-22,Atrial flutter,"0.74 (0.722, 0.756)","0.733 (0.716, 0.749)","-0.007 (-0.016, 0.004)"
GI,phecode_506-5,Disturbances of salivary secretion,"0.623 (0.604, 0.645)","0.617 (0.599, 0.634)","-0.007 (-0.016, 0.002)"
Genitourinary,phecode_619-5,Noninflammatory disorders of vulva and perineum,"0.523 (0.509, 0.538)","0.516 (0.501, 0.531)","-0.007 (-0.016, -0.001)"
Eye,phecode_361-9,Ectropion of eyelid,"0.68 (0.634, 0.717)","0.673 (0.63, 0.714)","-0.007 (-0.027, 0.015)"
Musc/Skel,phecode_700-2,Sicca syndrome [Sjogren syndrome],"0.735 (0.714, 0.763)","0.729 (0.705, 0.758)","-0.007 (-0.02, 0.005)"
Neuro,phecode_324-1,Parkinsonism,"0.722 (0.705, 0.738)","0.717 (0.701, 0.731)","-0.007 (-0.012, -0.001)"
Genitourinary,phecode_618-12,Rectocele,"0.554 (0.538, 0.572)","0.548 (0.532, 0.565)","-0.007 (-0.016, 0.007)"
Signs/Symptoms,phecode_808,Syncope and collapse,"0.6 (0.591, 0.606)","0.592 (0.584, 0.599)","-0.007 (-0.011, -0.003)"
Cardio,phecode_413,Heart valve disorders,"0.71 (0.703, 0.718)","0.703 (0.696, 0.711)","-0.007 (-0.012, -0.001)"
ID,phecode_030,Campylobacter,"0.514 (0.492, 0.532)","0.507 (0.488, 0.527)","-0.007 (-0.024, 0.015)"
Resp,phecode_463-5,Postnasal drip,"0.574 (0.561, 0.586)","0.566 (0.555, 0.578)","-0.007 (-0.014, -0.001)"
Signs/Symptoms,phecode_803,Snoring*,"0.629 (0.613, 0.642)","0.622 (0.605, 0.637)","-0.007 (-0.01, -0.003)"
Cardio,phecode_444-15,Scrotal varices [Varicocele],"0.804 (0.788, 0.817)","0.798 (0.781, 0.811)","-0.007 (-0.014, 0.001)"
Neuro,phecode_328-1,Alzheimer's disease,"0.813 (0.8, 0.824)","0.806 (0.795, 0.818)","-0.007 (-0.011, -0.002)"
Endo,phecode_200-22,Uninodular goiter [single thyroid nodule],"0.628 (0.608, 0.651)","0.62 (0.596, 0.643)","-0.007 (-0.017, 0.006)"
Neoplasms,phecode_116-1,Secondary malignancy of lymph nodes,"0.614 (0.602, 0.629)","0.609 (0.595, 0.623)","-0.007 (-0.018, 0.006)"
Derm,phecode_670,Seborrheic keratosis,"0.612 (0.596, 0.632)","0.605 (0.591, 0.624)","-0.007 (-0.016, 0.002)"
GI,phecode_509,Diseases of tongue,"0.578 (0.564, 0.589)","0.571 (0.558, 0.586)","-0.007 (-0.012, 0.001)"
Cardio,phecode_417-3,Bradycardia*,"0.657 (0.645, 0.666)","0.65 (0.638, 0.659)","-0.007 (-0.01, -0.003)"
Resp,phecode_488-8,Mouth breathing*,"0.59 (0.577, 0.604)","0.584 (0.569, 0.6)","-0.007 (-0.012, -0.001)"
Endo,phecode_208-2,Hyperparathyroidism,"0.65 (0.63, 0.669)","0.642 (0.626, 0.661)","-0.007 (-0.024, 0.009)"
Resp,phecode_463-4,Nasal congestion*,"0.527 (0.517, 0.537)","0.52 (0.512, 0.53)","-0.006 (-0.013, -0.001)"
ID,phecode_095,Sequela of infection,"0.533 (0.503, 0.561)","0.527 (0.5, 0.557)","-0.006 (-0.029, 0.021)"
Cardio,phecode_400,Rheumatic fever and chronic rheumatic heart diseases,"0.715 (0.704, 0.73)","0.708 (0.699, 0.718)","-0.006 (-0.016, 0.001)"
Genitourinary,phecode_596-3,Diverticulum of bladder,"0.729 (0.7, 0.76)","0.722 (0.69, 0.754)","-0.006 (-0.016, 0.003)"
Genitourinary,phecode_602-4,Elevated prostate specific antigen [PSA],"0.628 (0.618, 0.638)","0.622 (0.612, 0.632)","-0.006 (-0.01, -0.002)"
Neuro,phecode_331-3,"Headache syndromes, non migraine","0.52 (0.49, 0.558)","0.517 (0.481, 0.552)","-0.006 (-0.039, 0.026)"
Genitourinary,phecode_597,Other disorders of urethra and urinary tract,"0.595 (0.577, 0.611)","0.588 (0.572, 0.601)","-0.006 (-0.014, 0.004)"
Musc/Skel,phecode_720,Spontaneous rupture of synovium and tendon,"0.606 (0.585, 0.625)","0.6 (0.579, 0.624)","-0.006 (-0.016, 0.006)"
Genitourinary,phecode_622,Polyp of female genital organs,"0.566 (0.552, 0.581)","0.559 (0.548, 0.574)","-0.006 (-0.014, 0)"
Cardio,phecode_430-1,Nontraumatic subarachnoid hemorrhage,"0.608 (0.574, 0.646)","0.602 (0.571, 0.642)","-0.006 (-0.035, 0.028)"
Hearing,phecode_394-21,Paroxysmal vertigo,"0.605 (0.594, 0.615)","0.598 (0.587, 0.609)","-0.006 (-0.01, -0.003)"
Neoplasms,phecode_108-5,Malignant neoplasm of the bladder,"0.735 (0.712, 0.757)","0.73 (0.704, 0.754)","-0.006 (-0.014, 0.003)"
Neuro,phecode_324-11,Parkinson's disease (Primary),"0.724 (0.712, 0.739)","0.718 (0.704, 0.733)","-0.006 (-0.011, 0)"
Neuro,phecode_325-23,Unsteadiness on feet*,"0.646 (0.625, 0.672)","0.638 (0.621, 0.662)","-0.006 (-0.021, 0.004)"
Cardio,phecode_440-11,Deep vein thrombosis [DVT],"0.602 (0.584, 0.618)","0.596 (0.576, 0.612)","-0.006 (-0.017, 0.007)"
Musc/Skel,phecode_728-3,Costochondritis (Tietze's disease),"0.607 (0.593, 0.622)","0.602 (0.588, 0.614)","-0.006 (-0.012, -0.001)"
Musc/Skel,phecode_714-3,Scoliosis,"0.695 (0.677, 0.714)","0.69 (0.672, 0.707)","-0.006 (-0.016, 0.002)"
Genitourinary,phecode_602,Other disorders of prostate,"0.633 (0.626, 0.643)","0.628 (0.619, 0.637)","-0.006 (-0.009, -0.002)"
Hearing,phecode_396-21,"Sensorineural hearing loss, bilateral","0.636 (0.612, 0.656)","0.631 (0.609, 0.649)","-0.006 (-0.011, 0.001)"
Derm,phecode_660-13,Pityriasis versicolor,"0.668 (0.643, 0.697)","0.663 (0.632, 0.688)","-0.006 (-0.019, 0.007)"
Cardio,phecode_413-2,Aortic valve disorders,"0.725 (0.716, 0.737)","0.72 (0.71, 0.733)","-0.006 (-0.011, 0.001)"
Neoplasms,phecode_101-4,Malignant neoplasm of the colon and rectum,"0.685 (0.672, 0.699)","0.68 (0.666, 0.695)","-0.006 (-0.009, 0)"
GI,phecode_510-8,Barrett's esophagus,"0.634 (0.622, 0.65)","0.63 (0.612, 0.645)","-0.006 (-0.011, 0)"
Blood,phecode_179-9,Immunodeficiency NOS,"0.531 (0.487, 0.564)","0.523 (0.478, 0.568)","-0.005 (-0.047, 0.033)"
GI,phecode_504-3,Periodontitis,"0.533 (0.499, 0.562)","0.528 (0.491, 0.557)","-0.005 (-0.038, 0.026)"
Genitourinary,phecode_618-2,Uterine/Uterovaginal prolapse,"0.586 (0.571, 0.602)","0.581 (0.568, 0.596)","-0.005 (-0.012, 0.002)"
Signs/Symptoms,phecode_820,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,"0.653 (0.62, 0.697)","0.652 (0.613, 0.68)","-0.005 (-0.029, 0.019)"
GI,phecode_522-1,Inflammatory bowel disease,"0.541 (0.526, 0.559)","0.537 (0.514, 0.556)","-0.005 (-0.019, 0.011)"
Genitourinary,phecode_613,Other nonmalignant breast conditions,"0.537 (0.527, 0.546)","0.532 (0.521, 0.54)","-0.005 (-0.009, -0.002)"
Cardio,phecode_423,Abnormal cardiac sounds,"0.637 (0.627, 0.651)","0.633 (0.619, 0.646)","-0.005 (-0.014, 0.006)"
Neoplasms,phecode_101,Malignant neoplasm of the digestive organs,"0.674 (0.663, 0.685)","0.668 (0.658, 0.68)","-0.005 (-0.011, 0)"
Neoplasms,phecode_101-41,Malignant neoplasm of the colon,"0.687 (0.674, 0.701)","0.682 (0.669, 0.694)","-0.005 (-0.013, 0.002)"
Genitourinary,phecode_622-1,Polyp of corpus uteri,"0.521 (0.505, 0.538)","0.516 (0.501, 0.533)","-0.005 (-0.018, 0.005)"
Cardio,phecode_410,Inflammation of the heart [Carditis],"0.614 (0.598, 0.633)","0.609 (0.592, 0.629)","-0.005 (-0.017, 0.009)"
ID,phecode_099,Lab findings related to infections,"0.61 (0.597, 0.624)","0.606 (0.594, 0.62)","-0.005 (-0.01, 0)"
Mental,phecode_286-21,"Major depressive disorder, recurrent","0.562 (0.541, 0.586)","0.555 (0.531, 0.577)","-0.005 (-0.015, 0.008)"
Genitourinary,phecode_581-31,Hydronephrosis,"0.603 (0.591, 0.623)","0.598 (0.581, 0.619)","-0.005 (-0.02, 0.008)"
Genitourinary,phecode_620,Dysplasia of female genital organs,"0.723 (0.696, 0.749)","0.718 (0.687, 0.749)","-0.005 (-0.017, 0.005)"
Musc/Skel,phecode_728,Chondropathies,"0.607 (0.593, 0.621)","0.601 (0.589, 0.615)","-0.005 (-0.011, 0.001)"
Genitourinary,phecode_614-53,Cyst or abscess of Bartholin's gland,"0.631 (0.6, 0.669)","0.626 (0.593, 0.663)","-0.005 (-0.024, 0.013)"
Cardio,phecode_416-42,Left bundle branch block,"0.722 (0.706, 0.739)","0.718 (0.703, 0.735)","-0.005 (-0.012, 0.003)"
Genitourinary,phecode_610-1,Cystic mastopathy,"0.686 (0.66, 0.709)","0.681 (0.651, 0.708)","-0.005 (-0.013, 0.004)"
Hearing,phecode_396-22,Presbycusis,"0.7 (0.686, 0.721)","0.695 (0.677, 0.718)","-0.005 (-0.013, 0.002)"
Neoplasms,phecode_149,Benign neoplasm of the endocrine glands,"0.581 (0.555, 0.61)","0.576 (0.554, 0.606)","-0.005 (-0.027, 0.013)"
Eye,phecode_362,Other disorders of the eyelids,"0.543 (0.529, 0.562)","0.539 (0.522, 0.554)","-0.005 (-0.015, 0.004)"
Resp,phecode_478,Aspiration pneumonia,"0.733 (0.714, 0.756)","0.727 (0.709, 0.748)","-0.005 (-0.023, 0.01)"
Signs/Symptoms,phecode_817,Motion sickness,"0.643 (0.61, 0.69)","0.643 (0.603, 0.685)","-0.005 (-0.025, 0.018)"
Musc/Skel,phecode_708-11,"Primary osteoarthritis of hip, pelvic region and thigh","0.61 (0.595, 0.626)","0.606 (0.588, 0.62)","-0.005 (-0.012, 0.002)"
Neoplasms,phecode_148,"Benign neoplasm of the eye, brain and other parts of central nervous system","0.608 (0.588, 0.63)","0.603 (0.58, 0.623)","-0.005 (-0.019, 0.005)"
ID,phecode_009,Pseudomonas,"0.655 (0.622, 0.676)","0.65 (0.618, 0.672)","-0.005 (-0.033, 0.013)"
Genitourinary,phecode_625-2,Postcoital bleeding,"0.754 (0.736, 0.77)","0.75 (0.73, 0.767)","-0.005 (-0.011, 0.001)"
Signs/Symptoms,phecode_807-11,Postviral fatigue syndrome*,"0.581 (0.551, 0.619)","0.579 (0.542, 0.608)","-0.005 (-0.03, 0.019)"
Musc/Skel,phecode_708-12,"Primary osteoarthritis of knee, lower leg","0.605 (0.592, 0.618)","0.601 (0.587, 0.613)","-0.005 (-0.012, 0.002)"
Signs/Symptoms,phecode_841-13,Allergy to sulfonamides,"0.693 (0.665, 0.72)","0.687 (0.66, 0.718)","-0.004 (-0.025, 0.01)"
Derm,phecode_688-3,Pyogenic granuloma of skin and subcutaneous tissue,"0.53 (0.497, 0.568)","0.526 (0.492, 0.556)","-0.004 (-0.042, 0.03)"
Cardio,phecode_418,Abnormal results of cardiovascular function studies,"0.655 (0.647, 0.664)","0.651 (0.643, 0.66)","-0.004 (-0.007, 0)"
Genitourinary,phecode_596-2,Overactive bladder,"0.582 (0.57, 0.59)","0.577 (0.565, 0.587)","-0.004 (-0.009, -0.001)"
Neuro,phecode_352-3,Parageusia*,"0.508 (0.472, 0.539)","0.502 (0.465, 0.539)","-0.004 (-0.032, 0.017)"
GI,phecode_520-14,Ventral hernia,"0.582 (0.564, 0.6)","0.577 (0.561, 0.597)","-0.004 (-0.02, 0.012)"
Musc/Skel,phecode_723-51,Achilles tendinitis,"0.534 (0.525, 0.545)","0.53 (0.519, 0.542)","-0.004 (-0.009, 0.002)"
Genitourinary,phecode_594-3,Urinary incontinence,"0.616 (0.611, 0.624)","0.612 (0.606, 0.619)","-0.004 (-0.008, 0.001)"
Eye,phecode_377-2,Conjunctival hemorrhage,"0.582 (0.571, 0.592)","0.578 (0.567, 0.59)","-0.004 (-0.007, -0.001)"
Neuro,phecode_325-3,Lack of coordination,"0.599 (0.577, 0.623)","0.594 (0.576, 0.618)","-0.004 (-0.018, 0.012)"
Genitourinary,phecode_615,Endometriosis,"0.734 (0.712, 0.76)","0.729 (0.709, 0.756)","-0.004 (-0.01, 0.001)"
Hearing,phecode_394-2,Vertigo,"0.599 (0.589, 0.608)","0.595 (0.584, 0.602)","-0.004 (-0.008, 0)"
Resp,phecode_481,Interstitial pulmonary diseases,"0.728 (0.71, 0.747)","0.725 (0.708, 0.743)","-0.004 (-0.014, 0.01)"
Genitourinary,phecode_591,Urinary tract infection,"0.617 (0.613, 0.623)","0.613 (0.609, 0.619)","-0.004 (-0.007, -0.002)"
Genitourinary,phecode_593-1,Gross hematuria,"0.685 (0.662, 0.712)","0.682 (0.657, 0.71)","-0.004 (-0.008, 0.002)"
Musc/Skel,phecode_710,Acquired deformities of limbs,"0.589 (0.573, 0.604)","0.585 (0.569, 0.601)","-0.004 (-0.013, 0.006)"
GI,phecode_529-3,Fecal incontinence,"0.639 (0.625, 0.656)","0.635 (0.621, 0.648)","-0.004 (-0.014, 0.006)"
Genitourinary,phecode_613-5,Mastodynia,"0.542 (0.532, 0.554)","0.538 (0.528, 0.551)","-0.004 (-0.008, 0.002)"
Genitourinary,phecode_618-11,Cystocele,"0.58 (0.569, 0.593)","0.576 (0.567, 0.589)","-0.004 (-0.008, 0.002)"
Cardio,phecode_416-4,Heart block,"0.724 (0.716, 0.732)","0.72 (0.713, 0.728)","-0.004 (-0.008, -0.001)"
Eye,phecode_379-21,"Infection of the eye, herpes","0.572 (0.537, 0.613)","0.57 (0.533, 0.601)","-0.004 (-0.026, 0.018)"
Hearing,phecode_390-6,Perichondritis and chondritis of pinna,"0.675 (0.647, 0.696)","0.672 (0.646, 0.692)","-0.004 (-0.017, 0.008)"
Genitourinary,phecode_626-2,Dysmenorrhea,"0.897 (0.886, 0.908)","0.893 (0.88, 0.905)","-0.004 (-0.01, 0.002)"
Neoplasms,phecode_107-2,Malignant neoplasm of the prostate,"0.69 (0.683, 0.697)","0.686 (0.678, 0.693)","-0.004 (-0.006, -0.002)"
Neoplasms,phecode_146-2,Benign neoplasm of the prostate,"0.591 (0.58, 0.602)","0.587 (0.575, 0.597)","-0.004 (-0.013, 0.003)"
Cardio,phecode_417,Abnormalities of heart beat,"0.586 (0.58, 0.59)","0.582 (0.577, 0.587)","-0.004 (-0.007, -0.001)"
Genitourinary,phecode_625,Pain and other symptoms associated with female genital organs,"0.611 (0.6, 0.622)","0.607 (0.597, 0.619)","-0.004 (-0.007, 0.001)"
Neoplasms,phecode_105,Malignant neoplasm of the breast,"0.754 (0.747, 0.759)","0.75 (0.744, 0.756)","-0.004 (-0.007, 0)"
Genitourinary,phecode_619-3,Noninflammatory disorders of cervix,"0.675 (0.658, 0.695)","0.671 (0.655, 0.693)","-0.003 (-0.009, 0.001)"
Genitourinary,phecode_618,Genital prolapse,"0.574 (0.566, 0.585)","0.571 (0.563, 0.581)","-0.003 (-0.007, 0)"
Genitourinary,phecode_614-5,"Inflammatory disease of cervix, vagina, and vulva","0.553 (0.545, 0.566)","0.549 (0.541, 0.562)","-0.003 (-0.011, 0.003)"
Rx,phecode_977-52,Hormone replacement therapy (postmenopausal),"0.748 (0.735, 0.765)","0.746 (0.729, 0.765)","-0.003 (-0.008, 0.002)"
Genitourinary,phecode_592-1,Cystitis,"0.69 (0.681, 0.699)","0.687 (0.679, 0.696)","-0.003 (-0.005, -0.001)"
GI,phecode_550-4,Cholesterolosis of gallbladder,"0.558 (0.529, 0.589)","0.553 (0.529, 0.583)","-0.003 (-0.02, 0.014)"
GI,phecode_522-14,Microscopic colitis*,"0.619 (0.598, 0.652)","0.616 (0.59, 0.647)","-0.003 (-0.019, 0.009)"
Genitourinary,phecode_626-11,Absent or infrequent menstruation,"0.846 (0.835, 0.862)","0.843 (0.83, 0.86)","-0.003 (-0.007, 0)"
Genitourinary,phecode_618-1,Prolapse of vaginal walls,"0.577 (0.565, 0.589)","0.575 (0.561, 0.584)","-0.003 (-0.008, 0.001)"
Cardio,phecode_418-1,Abnormal electrocardiogram [ECG] [EKG],"0.655 (0.646, 0.665)","0.651 (0.641, 0.662)","-0.003 (-0.007, 0.001)"
Neoplasms,phecode_136-2,Benign neoplasm of stomach,"0.626 (0.613, 0.637)","0.623 (0.61, 0.634)","-0.003 (-0.008, 0.001)"
Hearing,phecode_394,Disorders of vestibular function,"0.598 (0.59, 0.608)","0.595 (0.587, 0.605)","-0.003 (-0.006, 0)"
Musc/Skel,phecode_710-32,Genu varum (acquired),"0.573 (0.537, 0.612)","0.571 (0.533, 0.611)","-0.003 (-0.014, 0.006)"
Cardio,phecode_406,Chronic pulmonary heart disease,"0.742 (0.726, 0.763)","0.74 (0.723, 0.761)","-0.003 (-0.02, 0.012)"
Genitourinary,phecode_592,Cystitis and urethritis,"0.681 (0.674, 0.69)","0.678 (0.671, 0.687)","-0.003 (-0.005, -0.001)"
Cardio,phecode_401-6,Secondary hypertension,"0.63 (0.61, 0.64)","0.626 (0.606, 0.639)","-0.003 (-0.011, 0.003)"
Derm,phecode_682,Other follicular disorders,"0.51 (0.503, 0.517)","0.507 (0.501, 0.514)","-0.003 (-0.009, 0.003)"
Cardio,phecode_433-21,Carotid artery stenosis,"0.735 (0.713, 0.76)","0.731 (0.704, 0.761)","-0.003 (-0.019, 0.014)"
Musc/Skel,phecode_717-2,Sacrococcygeal disorders,"0.621 (0.602, 0.64)","0.617 (0.601, 0.635)","-0.003 (-0.014, 0.005)"
Neuro,phecode_324,Extrapyramidal and movement disorders,"0.596 (0.587, 0.605)","0.593 (0.585, 0.604)","-0.003 (-0.008, 0.002)"
Cardio,phecode_440-1,Venous thromboembolism,"0.564 (0.555, 0.573)","0.561 (0.551, 0.57)","-0.003 (-0.01, 0.004)"
ID,phecode_052,Herpesvirus,"0.561 (0.555, 0.566)","0.558 (0.552, 0.564)","-0.003 (-0.006, -0.001)"
Cardio,phecode_416-52,Ventricular premature depolarization*,"0.615 (0.595, 0.632)","0.613 (0.594, 0.63)","-0.003 (-0.009, 0.004)"
Neoplasms,phecode_108,Malignant neoplasm of the urinary tract,"0.711 (0.699, 0.73)","0.708 (0.695, 0.725)","-0.003 (-0.009, 0.004)"
Genitourinary,phecode_608,Other disorders of male genital organs,"0.53 (0.521, 0.538)","0.527 (0.52, 0.535)","-0.003 (-0.006, 0.001)"
Genitourinary,phecode_596-1,Bladder neck obstruction,"0.798 (0.779, 0.815)","0.796 (0.776, 0.812)","-0.003 (-0.007, 0.001)"
Genitourinary,phecode_614,Inflammatory diseases of female pelvic organs,"0.559 (0.549, 0.569)","0.556 (0.545, 0.565)","-0.003 (-0.009, 0.003)"
Blood,phecode_174-2,Splenomegaly,"0.603 (0.573, 0.642)","0.601 (0.569, 0.631)","-0.003 (-0.03, 0.025)"
Neoplasms,phecode_107,Malignant neoplasm of male genitalia,"0.685 (0.678, 0.695)","0.682 (0.676, 0.692)","-0.003 (-0.004, -0.001)"
Genitourinary,phecode_594-31,Urge incontinence,"0.637 (0.625, 0.65)","0.635 (0.623, 0.646)","-0.003 (-0.009, 0.003)"
Musc/Skel,phecode_705-3,Polymyalgia rheumatica,"0.706 (0.691, 0.718)","0.703 (0.689, 0.713)","-0.003 (-0.008, 0.002)"
Mental,phecode_308-1,Irritability,"0.577 (0.541, 0.621)","0.574 (0.537, 0.611)","-0.003 (-0.024, 0.024)"
Genitourinary,phecode_593,Hematuria,"0.562 (0.558, 0.565)","0.559 (0.556, 0.563)","-0.003 (-0.005, -0.001)"
Cardio,phecode_416-41,Atrioventricular block,"0.751 (0.741, 0.762)","0.749 (0.739, 0.76)","-0.003 (-0.007, 0.002)"
Signs/Symptoms,phecode_841-12,Allergy to antibiotic agent (excluding penicillin),"0.637 (0.625, 0.65)","0.635 (0.621, 0.647)","-0.003 (-0.01, 0.004)"
Genitourinary,phecode_603-1,Hydrocele,"0.558 (0.532, 0.577)","0.555 (0.53, 0.578)","-0.002 (-0.014, 0.01)"
ID,phecode_052-3,Varicella zoster virus,"0.571 (0.563, 0.58)","0.569 (0.561, 0.577)","-0.002 (-0.005, 0)"
Genitourinary,phecode_594-4,Frequency of urination and polyuria,"0.583 (0.577, 0.589)","0.581 (0.575, 0.587)","-0.002 (-0.005, 0)"
Genitourinary,phecode_594-6,Urinary urgency,"0.596 (0.583, 0.608)","0.593 (0.58, 0.606)","-0.002 (-0.007, 0.001)"
Musc/Skel,phecode_721-2,Ganglion cyst,"0.543 (0.532, 0.553)","0.541 (0.531, 0.551)","-0.002 (-0.007, 0.004)"
ID,phecode_052-32,Herpes zoster,"0.578 (0.57, 0.585)","0.576 (0.568, 0.583)","-0.002 (-0.004, 0)"
Resp,phecode_487,Hemorrhage from respiratory passages,"0.587 (0.58, 0.595)","0.584 (0.576, 0.593)","-0.002 (-0.01, 0.004)"
Blood,phecode_177-4,Lymphedema,"0.656 (0.636, 0.676)","0.653 (0.636, 0.672)","-0.002 (-0.016, 0.012)"
Cardio,phecode_444-1,Varicose veins,"0.586 (0.577, 0.594)","0.584 (0.575, 0.593)","-0.002 (-0.006, 0.002)"
Eye,phecode_363-5,Epiphora,"0.591 (0.576, 0.608)","0.588 (0.571, 0.604)","-0.002 (-0.015, 0.008)"
Signs/Symptoms,phecode_848,Nonspecific abnormal findings of other body structures,"0.61 (0.602, 0.618)","0.608 (0.6, 0.615)","-0.002 (-0.007, 0.003)"
Cardio,phecode_444-11,Varicose veins of lower extremities,"0.594 (0.586, 0.601)","0.592 (0.584, 0.599)","-0.002 (-0.006, 0.001)"
Signs/Symptoms,phecode_832-6,Pyuria*,"0.641 (0.629, 0.654)","0.639 (0.624, 0.652)","-0.002 (-0.007, 0.003)"
Hearing,phecode_396-2,Sensorineural hearing loss,"0.634 (0.624, 0.647)","0.632 (0.62, 0.644)","-0.002 (-0.006, 0.001)"
Cardio,phecode_424-3,Diastolic heart failure,"0.682 (0.649, 0.711)","0.682 (0.652, 0.711)","-0.002 (-0.022, 0.022)"
Genitourinary,phecode_610,Benign mammary dysplasias,"0.637 (0.612, 0.658)","0.633 (0.607, 0.655)","-0.002 (-0.009, 0.006)"
Genitourinary,phecode_608-1,Abnormal findings in semen,"0.823 (0.818, 0.827)","0.821 (0.816, 0.825)","-0.002 (-0.003, 0)"
Neoplasms,phecode_116,Secondary malignant neoplasm,"0.654 (0.648, 0.663)","0.652 (0.644, 0.662)","-0.002 (-0.009, 0.004)"
Eye,phecode_360-4,Blepharitis,"0.594 (0.585, 0.605)","0.592 (0.583, 0.603)","-0.002 (-0.004, 0)"
Genitourinary,phecode_581-3,Obstructive and reflux uropathy,"0.617 (0.603, 0.631)","0.617 (0.601, 0.629)","-0.002 (-0.012, 0.011)"
Neoplasms,phecode_146,Benign neoplasm of the genitourinary system,"0.811 (0.805, 0.819)","0.809 (0.803, 0.818)","-0.002 (-0.005, 0.001)"
Genitourinary,phecode_594-1,Retention of urine,"0.732 (0.724, 0.739)","0.729 (0.723, 0.737)","-0.002 (-0.005, 0)"
GI,phecode_507,Lesions of mouth,"0.548 (0.538, 0.558)","0.546 (0.535, 0.556)","-0.002 (-0.01, 0.004)"
Cardio,phecode_444,Venous insufficiency,"0.59 (0.583, 0.597)","0.588 (0.581, 0.595)","-0.002 (-0.005, 0.002)"
Eye,phecode_360,Inflammation of eyelids,"0.564 (0.557, 0.57)","0.563 (0.554, 0.568)","-0.002 (-0.004, 0)"
Genitourinary,phecode_594,Abnormality of urination,"0.584 (0.578, 0.588)","0.582 (0.576, 0.586)","-0.002 (-0.004, 0.001)"
Musc/Skel,phecode_709-2,Acquired deformities of toe,"0.648 (0.639, 0.656)","0.646 (0.638, 0.654)","-0.002 (-0.003, 0)"
Genitourinary,phecode_594-41,Nocturia,"0.713 (0.705, 0.721)","0.711 (0.703, 0.719)","-0.002 (-0.003, -0.001)"
Resp,phecode_462-1,Acute sinusitis,"0.577 (0.566, 0.583)","0.575 (0.565, 0.582)","-0.002 (-0.004, 0)"
Cardio,phecode_431-2,Transient cerebral ischemic attacks,"0.677 (0.665, 0.687)","0.675 (0.663, 0.686)","-0.002 (-0.007, 0.003)"
Neoplasms,phecode_142-1,Lump or mass in breast,"0.748 (0.74, 0.756)","0.746 (0.738, 0.754)","-0.002 (-0.003, -0.001)"
Genitourinary,phecode_586-2,Cyst of kidney,"0.65 (0.635, 0.668)","0.649 (0.638, 0.667)","-0.002 (-0.008, 0.008)"
Cardio,phecode_440-2,Arterial embolism and thrombosis,"0.691 (0.672, 0.705)","0.689 (0.669, 0.707)","-0.002 (-0.018, 0.013)"
Endo,phecode_200-2,Goiter,"0.642 (0.627, 0.659)","0.64 (0.625, 0.66)","-0.002 (-0.009, 0.007)"
Genitourinary,phecode_600,Benign prostatic hyperplasia,"0.664 (0.658, 0.67)","0.663 (0.656, 0.668)","-0.002 (-0.003, -0.001)"
Resp,phecode_462,Sinusitis,"0.556 (0.551, 0.563)","0.555 (0.549, 0.562)","-0.002 (-0.004, 0.001)"
Derm,phecode_683-1,Ingrowing nail,"0.532 (0.518, 0.546)","0.531 (0.515, 0.546)","-0.002 (-0.014, 0.012)"
Eye,phecode_367-13,Blepharoconjunctivitis,"0.636 (0.614, 0.658)","0.634 (0.612, 0.659)","-0.002 (-0.014, 0.01)"
Mental,phecode_284-1,Suicidal ideations,"0.612 (0.596, 0.634)","0.612 (0.594, 0.631)","-0.002 (-0.011, 0.014)"
Genitourinary,phecode_627-1,Postmenopausal bleeding,"0.543 (0.535, 0.551)","0.542 (0.532, 0.552)","-0.001 (-0.009, 0.006)"
Mental,phecode_290,"Reaction to severe stress, and adjustment disorders","0.64 (0.632, 0.647)","0.638 (0.631, 0.646)","-0.001 (-0.002, -0.001)"
