phecode_category,endpoint,phecode_string,ukb_n,ukb_n_1,ukb_n_2,ukb_n_3,ukb_n_4,ukb_n_5,ukb_n_6,ukb_n_7,ukb_n_8,ukb_n_9,ukb_n_10,ukb_ratio,epic_n,epic_n_1,epic_n_2,epic_n_3,epic_n_4,epic_n_5,epic_n_6,epic_n_7,epic_n_8,epic_n_9,epic_n_10,epic_ratio
Blood,phecode_169,Platelet defects,675,17,32,39,41,48,77,85,102,109,125,7.354146576663452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_169-1,Thrombocytopenia,672,20,30,39,37,51,75,89,94,112,125,6.251024590163934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_169-11,Immune thrombocytopenic purpura [ITP],102,6,7,7,6,8,11,12,12,16,17,2.8337964476408413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_170,Decreased white blood cell count,906,46,65,77,73,100,99,103,105,101,137,2.9787505540225614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_170-1,Neutropenia,882,49,63,69,81,94,96,100,95,101,134,2.7351434409042263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_170-19,Neutropenia NOS,282,28,19,25,24,22,19,30,38,28,49,1.7502866972477067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_171,Increased white blood cell count,179,7,16,15,12,22,12,25,28,19,23,3.2862522219103756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_171-1,Lymphocytosis (symptomatic),102,3,10,7,6,12,19,11,9,15,10,3.3338785301493834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_172,Other disorders of white blood cells,267,15,16,17,23,28,31,39,25,27,46,3.0671704725918625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_174,Diseases of spleen,254,12,15,17,25,17,23,32,37,33,43,3.583919132472345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_174-2,Splenomegaly,144,9,7,15,6,7,12,19,20,22,27,3.0004901960784314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_175,Polycythemias,139,1,8,8,12,12,10,17,21,22,28,28.004575163398695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_175-2,Secondary polycythemia,125,1,8,5,14,9,12,11,16,24,25,25.000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_176,Other diseases of blood and blood-forming organs,446,33,35,39,38,37,42,54,48,53,67,2.030635921437692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_177,Abnormality of the lymph nodes,1984,126,135,189,177,192,209,230,231,229,266,2.1114655027698506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_177-2,Enlargement of lymph nodes [Lymphadenopathy],1482,98,120,135,131,145,154,155,173,181,190,1.9390984241797988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_177-4,Lymphedema,417,11,26,30,23,32,49,63,59,68,56,5.091742436643401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_179,Immunodeficiencies,187,20,19,16,10,23,23,22,19,14,21,1.0501716527709661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_179-9,Immunodeficiency NOS,115,20,7,8,10,8,16,15,11,9,11,0.5500898986596927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_180,Other disorders involving the immune mechanism,390,26,27,29,36,43,38,36,48,49,58,2.231134093253819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_180-3,Paraproteinemias,242,8,7,14,17,29,27,24,30,43,43,5.375877694317439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_180-31,Monoclonal gammopathy,220,8,7,12,14,29,20,25,29,38,38,4.750775636838667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood,phecode_181,Autoimmune disease,1578,117,136,141,125,149,173,168,190,198,181,1.5472699101690486,285,13,12,14,15,15,21,17,17,19,28,2.1568840186611697
Endo,phecode_200,Disorders of thyroid gland,3122,138,191,246,281,305,330,369,393,427,442,3.2034567414793824,515,17,27,24,35,42,37,43,57,42,77,4.535818287711124
Endo,phecode_200-1,Hypothyroidism,2538,119,145,193,252,233,264,296,332,310,394,3.310924369747899,480,16,24,24,32,41,34,38,53,45,68,4.2559943582510575
Endo,phecode_200-13,Postprocedural hypothyroidism,239,8,9,18,17,41,17,23,30,36,40,5.000818062827225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-14,"Hypothyroidism, not specified as secondary",2233,100,129,181,198,203,245,265,278,283,351,3.5105981595092026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-2,Goiter,704,41,53,52,75,80,74,67,80,84,98,2.390639441724552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-21,Diffuse goiter,157,10,13,13,14,21,21,13,14,21,17,1.700278917145201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-22,Uninodular goiter [single thyroid nodule],315,23,25,22,34,33,30,29,38,42,39,1.6959301496792587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-23,Multinodular goiter,243,9,12,26,23,23,26,31,29,23,41,4.556301389798443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-3,Thyrotoxicosis [hyperthyroidism],499,35,36,61,41,45,57,60,49,56,59,1.6859927780793469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-31,Graves' disease [Toxic diffuse goiter],117,10,13,10,9,10,17,15,8,14,11,1.1001800622033064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-4,Thyroiditis,107,8,4,3,11,9,16,9,11,20,16,2.000327546675401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-7,Iodine-deficiency related thyroid disorders*,367,21,24,32,33,31,34,46,43,41,62,2.952863209968731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_200-9,Abnormal thyroid function studies,268,16,24,17,32,20,33,20,34,28,44,2.7500000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_202,Diabetes mellitus,4259,164,196,287,337,387,431,488,495,593,881,5.372878537174808,620,14,27,39,38,39,51,51,40,77,86,6.151558073654391
Endo,phecode_202-1,Type 1 diabetes,450,21,31,33,37,33,44,49,40,62,100,4.761904761904761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_202-2,Type 2 diabetes,4163,155,197,281,312,401,425,479,487,565,861,5.5557959453675245,610,14,26,41,36,40,47,54,41,76,87,6.223075368761365
Endo,phecode_202-4,Other specified diabetes*,5006,116,190,261,332,400,494,528,652,764,1269,10.94146517492412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_204,Elevated blood glucose level,4823,176,278,334,402,448,519,508,604,680,874,4.9667472190257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_204-1,Impaired fasting glucose,720,25,31,55,64,99,88,87,83,86,102,4.080672712283595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_204-2,Impaired glucose tolerance (oral),1698,57,88,114,141,138,164,184,223,244,345,6.053629868833389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_204-4,Prediabetes*,108,23,8,4,9,6,10,12,8,17,11,0.478339029537364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_205,Hypoglycemia,416,5,18,12,18,21,29,35,44,79,155,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_208,Disorders of parathyroid gland,374,13,17,33,25,44,42,44,45,44,67,5.154689249896187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_208-2,Hyperparathyroidism,362,10,16,35,25,38,41,46,44,43,64,6.401046777886817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_208-21,Primary hyperparathyroidism,232,6,9,18,20,33,20,29,31,31,35,5.834286648145122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_209,Disorders of the pituitary gland and its hypothalamic control,197,20,10,11,16,9,24,17,27,35,28,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_209-1,Pituitary hyperfunction,102,6,4,8,6,7,10,8,10,24,19,3.1671843496267233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_211,Disorders of adrenal glands,175,5,11,10,8,10,24,26,24,27,30,6.000980392156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endo,phecode_215,Testicular dysfunction,103,12,9,18,10,21,6,9,9,2,7,0.5835422636103152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_230,Malnutrition and underweight,3065,172,177,209,252,258,299,340,407,431,520,3.023756601731185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_230-2,Abnormal loss of weight and underweight,2452,121,141,173,205,220,226,276,326,340,424,3.5041322314049586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_230-21,Abnormal weight loss,2341,105,133,163,193,216,217,263,311,328,412,3.9244577659248074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_230-22,Underweight,154,10,12,7,12,14,18,23,14,22,22,2.200359359686377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_230-3,Anorexia,776,43,57,50,63,71,83,85,103,108,113,2.6283370057045436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_232,Vitamin deficiencies,5117,300,356,383,380,442,494,533,612,635,982,3.2738751862274458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_232-2,Vitamin B group deficiency,1585,59,89,103,129,143,151,178,219,235,279,4.729592606036913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_232-27,Vitamin B12 deficiency,272,14,22,29,23,26,25,19,39,33,42,3.000491561527118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_232-29,Folate deficiency [Vitamin B9],153,4,2,6,6,10,12,24,28,23,38,9.5015522875817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_232-4,Vitamin D deficiency,3911,204,280,260,326,344,397,356,408,463,873,4.280112618253984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_234,Other nutritional deficiencies,1280,59,100,104,110,133,217,190,149,125,93,1.5765293799192104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_236,Overweight and obesity,6340,693,676,666,637,541,594,593,608,619,713,1.029039554253304,186,10,11,18,23,22,22,13,19,20,17,1.7023545706371193
Metab,phecode_236-1,Obesity,6324,695,678,664,635,534,583,597,607,626,705,1.014565427720618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_236-11,Morbid obesity,283,16,24,22,28,30,24,29,39,35,36,2.2503682487725043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_237,Abnormal weight gain,369,20,32,37,35,47,34,49,30,40,45,2.2503703703703706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_239,Hyperlipidemia,10050,466,631,729,854,955,1020,1106,1289,1370,1630,3.4985218615367724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_239-1,Hypercholesterolemia,9407,400,553,683,772,868,1024,997,1235,1328,1547,3.86821686746988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_239-11,Pure hypercholesterolemia,9463,387,554,680,760,860,996,1042,1243,1364,1577,4.07568598725478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_239-12,Familial hypercholesterolemia*,186,8,14,14,8,15,21,26,26,28,26,3.250532263347527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_239-2,Hyperglyceridemia,258,12,19,26,22,24,34,23,33,33,32,2.66710591335859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_239-3,Mixed hyperlipidemia,195,10,13,21,26,20,19,16,27,24,19,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_244,Disorders of lipoprotein metabolism and other lipidemias,431,18,29,37,31,54,46,48,51,58,59,3.2783147662734824,633,40,36,50,44,73,67,68,76,64,64,1.6022922636103152
Metab,phecode_247,Disorders of mineral metabolism and mineral deficiencies,3877,191,229,278,327,361,380,419,486,547,659,3.4508462730371368,410,19,22,21,43,37,38,38,58,51,65,3.4258239741613448
Metab,phecode_247-3,Disorder of phosphorus metabolism,218,7,10,11,17,15,19,21,37,31,50,7.144023323615161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_247-4,Disorders of magnesium metabolism,358,14,10,21,21,20,33,41,50,70,78,5.572338340953625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_247-5,Disorders of calcium metabolism,737,39,38,43,66,60,56,82,105,121,127,3.2564102564102564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_247-51,Hypocalcemia,132,11,6,9,9,10,9,23,19,15,21,1.9094029540253796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_247-52,Hypercalcemia,222,11,11,16,19,28,20,31,24,30,32,2.9095664061339117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_247-7,Disorders of iron metabolism,2985,159,220,227,249,235,291,332,360,396,516,3.245831023430381,326,13,20,19,38,27,28,35,46,35,53,4.082601242768373
Metab,phecode_247-72,Iron deficiency,2852,150,196,214,222,227,299,307,364,368,505,3.3672345928924874,326,13,20,22,33,29,27,36,48,33,53,4.082601242768373
Metab,phecode_248,"Disorders of plasma-protein metabolism, NEC",129,4,6,8,7,8,16,14,17,18,31,7.751265719418586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_251,Disorders of bilirubin excretion,182,10,18,13,14,15,17,20,24,24,27,2.7004424053744063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_251-1,Gilbert syndrome*,173,9,12,13,18,20,9,16,22,28,26,2.889362166885103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_256,"Disorders of fluid, electrolyte and acid-base balance",4817,228,259,328,403,457,506,542,598,641,855,3.7506199371796995,547,15,27,23,39,42,44,50,93,100,107,7.143213296398892
Metab,phecode_256-1,Hyperosmolality and/or hypernatremia,319,41,43,23,29,24,35,33,23,32,36,0.8781922525107604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_256-2,Hyposmolality and/or hyponatremia,2315,67,123,158,185,195,291,293,322,325,356,5.314303890384145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_256-3,Mixed disorder of acid-base balance,492,12,13,24,30,33,37,51,71,99,122,10.166666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_256-31,Acidosis,437,9,13,25,28,24,27,51,69,86,105,11.668572361973212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_256-4,Hyperkalemia [Hyperpotassemia],616,10,17,31,40,45,53,67,87,101,165,16.502698282910877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_256-5,Hypokalemia [Hypopotassemia],960,32,39,63,58,84,106,101,133,164,180,5.6259200196270855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_256-6,Fluid overload,343,4,5,15,11,28,29,43,59,49,100,25.004082299150884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metab,phecode_256-7,Volume depletion,1169,33,39,55,76,113,119,129,165,182,258,7.819460761714974,260,8,10,12,19,15,19,27,45,48,57,7.1348411602209945
Metab,phecode_257,Polydipsia,190,12,23,19,21,13,28,15,15,23,21,1.750286838223242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_280,Substance related disorders,2413,137,169,195,203,220,233,257,294,342,363,2.6500797553678668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_280-1,Alcohol use disorders,2266,120,135,202,172,189,243,239,282,317,367,3.0588452739649594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_280-11,Alcohol abuse,1212,52,64,75,100,117,122,137,165,176,204,3.923723975183649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_280-12,Alcohol dependence,684,37,29,49,57,60,69,81,87,91,124,3.351905202177884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_280-13,Alcoholic liver disease,186,0,8,12,10,11,16,17,27,36,49,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_280-8,Other psychoactive substance related disorders,145,11,7,13,12,10,12,13,22,14,31,2.8186427573081154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_280-82,Other psychoactive substance dependence,106,8,8,8,12,7,7,14,10,13,19,2.375388325703074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_281,"Substance abuse, dependence, and withdrawl",3749,230,277,289,289,328,381,411,448,475,621,2.7005721551176096,177,5,7,20,8,13,25,15,16,18,43,8.611927877947295
Mental,phecode_281-1,Substance abuse,1274,55,68,78,102,114,137,163,163,180,214,3.891551367087848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_281-2,Substance dependence,3215,206,217,235,274,284,298,355,388,415,543,2.6364776118181945,177,5,11,13,11,17,17,16,13,24,43,8.611927877947295
Mental,phecode_282-1,Current tobacco use and nicotine dependence,2415,130,184,167,194,222,235,237,322,309,415,3.1929335122826594,177,4,12,15,15,12,16,18,12,26,40,10.013869625520112
Mental,phecode_283,Other behavioral problems,9143,814,847,834,876,904,929,976,994,992,977,1.2005202303692697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_283-4,Patient's noncompliance with medical treatment and regimen,2414,166,161,182,189,199,262,280,287,299,389,2.3437612771124217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_283-8,Other problems related to lifestyle,7971,683,686,736,801,834,775,794,850,914,898,1.3150787123184504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_284,Suicide ideation and attempt or self harm,664,38,50,50,55,47,65,68,76,93,122,3.211054797487546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_284-1,Suicidal ideations,536,39,22,39,44,48,43,61,65,81,94,2.410652378124039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_284-2,Suicide and self-inflicted harm,206,15,16,17,16,15,26,14,19,25,43,2.867135842880524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_284-29,Intentional self-harm*,203,16,15,18,14,20,18,16,21,24,41,2.5629193258059235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_286,Mood [affective] disorders,4730,368,397,462,467,450,459,522,466,552,587,1.5954180650656054,351,26,32,22,22,35,35,32,30,39,45,1.733179772873366
Mental,phecode_286-1,Bipolar disorder,110,7,10,8,12,11,9,10,24,8,11,1.5714285714285716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_286-2,Major depressive disorder,4781,382,414,439,481,473,505,487,466,527,607,1.5893085966627285,329,25,30,22,21,33,34,28,28,39,45,1.8025069637883009
Mental,phecode_286-21,"Major depressive disorder, recurrent",268,22,31,25,23,22,25,33,19,34,34,1.5457098658816815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_287,Psychotic disorder,169,14,12,18,17,12,16,12,20,18,30,2.143208546127536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_288,Anxiety disorders,4845,343,426,410,456,515,480,532,541,551,591,1.7233489202963277,304,20,29,32,25,29,28,31,32,25,47,2.3532548476454296
Mental,phecode_288-2,Panic disorder [episodic paroxysmal anxiety],546,44,38,48,65,55,58,53,72,55,58,1.3184002410183022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_288-3,Generalized anxiety disorder,1120,75,81,100,102,104,132,127,141,118,140,1.8669802340556583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_288-4,Phobic disorders,673,52,58,56,52,73,79,74,72,63,94,1.8076923076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_290,"Reaction to severe stress, and adjustment disorders",2233,109,133,154,168,192,208,240,299,328,402,3.688706648855731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_290-1,Posttraumatic stress disorder,110,4,8,12,9,6,12,8,14,19,18,4.500736377025037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_292,Somatoform disorders,126,18,15,18,6,9,17,7,6,19,11,0.6112112768398623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_294,Sexual dysfunction and disorders,3405,48,78,119,182,266,307,436,544,662,763,15.898575885668278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_299,"Mental disorder, not otherwise specified",309,20,22,17,29,26,30,36,34,36,59,2.9504864775725594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_308,Signs and symptoms involving emotional state,4269,286,351,383,383,386,402,463,441,523,651,2.2766283663013134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_308-1,Irritability,135,10,8,6,13,15,25,7,15,17,19,1.9003109656301145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_308-3,Emotional lability,163,6,14,6,10,16,18,9,16,27,41,6.833333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_308-4,Demoralization and apathy,176,58,37,27,12,9,10,8,6,5,4,0.06897678795836598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_308-5,Nervousness,182,19,16,20,14,17,17,18,17,18,26,1.3686449801479643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_308-6,"Excessive crying of child, adolescent, or adult",111,8,7,4,17,8,7,16,13,13,18,2.2503681885125184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mental,phecode_308-7,Restlessness and agitation*,209,16,16,8,14,21,23,25,31,27,28,1.7502862283284268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_323,Systemic atrophies primarily affecting the central nervous system,130,5,9,17,18,13,14,13,12,18,11,2.200359418395687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_324,Extrapyramidal and movement disorders,2523,119,161,202,214,219,262,310,325,340,371,3.1181734216563544,136,6,6,7,7,8,15,16,18,18,16,2.670360110803324
Neuro,phecode_324-1,Parkinsonism,495,3,11,18,40,41,61,70,77,91,83,27.671191060234396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_324-11,Parkinson's disease (Primary),481,3,9,18,38,38,63,66,78,82,86,28.671354592532026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_324-3,Dystonia,913,62,72,77,93,97,96,95,103,108,110,1.774489444575954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_324-34,Torticollis,614,45,42,58,46,66,73,70,67,63,84,1.866977260122019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_324-4,Tremor,975,44,49,65,86,91,108,140,133,127,132,3.000492691739202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_324-41,Essential tremor*,305,10,16,19,20,32,41,32,39,45,51,5.100834014717907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_324-8,Restless legs syndrome,413,15,36,40,34,32,57,43,58,39,59,3.933978459351594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_325,Symptoms and signs related to movement disorders,2492,82,120,137,156,194,234,281,359,404,525,6.402439024390245,170,5,4,7,9,11,18,14,25,30,44,8.812171507607193
Neuro,phecode_325-1,Abnormal involuntary movements,147,25,16,13,8,12,13,14,19,7,20,0.8001308044473512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_325-2,Abnormality of gait and mobility,2272,63,103,109,141,170,207,257,362,364,496,7.8743082262451924,147,2,4,5,8,11,17,10,21,28,39,19.5
Neuro,phecode_325-23,Unsteadiness on feet*,300,15,8,13,27,25,33,30,35,59,55,3.6672663831643226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_325-3,Lack of coordination,428,22,27,23,39,29,49,49,61,65,64,2.909568749253375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_327,Other degenerative diseases of nervous system,303,5,9,17,20,19,26,41,38,60,68,13.602222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_328,Dementias and cerebral degeneration,968,9,9,26,42,66,99,127,173,173,244,27.11553886076179,310,4,12,13,10,13,27,39,54,64,74,18.52555248618785
Neuro,phecode_328-1,Alzheimer's disease,535,2,3,14,29,34,59,64,96,101,133,66.51085891574134,116,2,6,4,6,7,13,19,11,25,23,11.515883977900554
Neuro,phecode_328-7,Vascular dementia,198,2,1,0,5,18,26,27,32,39,48,24.003918367346937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_328-8,Dementia in conditions classified elsewhere,520,2,3,16,35,37,57,71,85,94,120,60.00979751796211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neuro,phecode_328-9,Dementia NOS,491,5,6,10,18,33,42,73,81,95,128,25.604180274330503,188,1,5,6,5,12,10,21,40,45,43,43.059392265193374
