phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta,epic_agesex,epic_agesexretina,epic_delta,sign_ukb,sign_epic,sign
Musc/Skel,phecode_703-11,Gout,"0.769 (0.76, 0.779)","0.776 (0.767, 0.786)","0.007 (0.002, 0.012)","0.78 (0.773, 0.797)","0.784 (0.774, 0.798)","0.003 (0, 0.006)",+,ns,+|ns
Musc/Skel,phecode_703-1,Hyperuricemia,"0.769 (0.761, 0.78)","0.777 (0.768, 0.787)","0.007 (0.003, 0.013)","0.781 (0.754, 0.8)","0.783 (0.758, 0.803)","0.004 (0, 0.006)",+,ns,+|ns
Cardio,phecode_446,Hypotension,"0.662 (0.652, 0.673)","0.669 (0.658, 0.68)","0.008 (0, 0.014)","0.721 (0.714, 0.728)","0.722 (0.715, 0.731)","0.002 (0, 0.005)",ns,ns,ns|ns
GI,phecode_528-2,Vomiting,"0.6 (0.591, 0.609)","0.608 (0.6, 0.616)","0.008 (0.002, 0.013)","0.625 (0.599, 0.641)","0.628 (0.601, 0.644)","0.003 (0, 0.005)",+,ns,+|ns
GI,phecode_528-1,Nausea,"0.6 (0.59, 0.609)","0.609 (0.599, 0.618)","0.009 (0.004, 0.016)","0.624 (0.588, 0.643)","0.627 (0.591, 0.644)","0.003 (0, 0.005)",+,ns,+|ns
Metab,phecode_256,"Disorders of fluid, electrolyte and acid-base balance","0.673 (0.666, 0.682)","0.686 (0.676, 0.694)","0.012 (0.006, 0.018)","0.708 (0.697, 0.72)","0.713 (0.7, 0.722)","0.004 (0, 0.006)",+,ns,+|ns
Metab,phecode_247,Disorders of mineral metabolism and mineral deficiencies,"0.603 (0.595, 0.611)","0.626 (0.616, 0.635)","0.022 (0.015, 0.028)","0.622 (0.606, 0.632)","0.625 (0.61, 0.635)","0.004 (0, 0.005)",+,ns,+|ns
Blood,phecode_160-1,Iron deficiency anemia,"0.591 (0.581, 0.601)","0.62 (0.609, 0.628)","0.029 (0.019, 0.038)","0.608 (0.598, 0.624)","0.614 (0.601, 0.631)","0.005 (0, 0.011)",+,ns,+|ns
Metab,phecode_247-72,Iron deficiency,"0.59 (0.58, 0.601)","0.619 (0.609, 0.628)","0.029 (0.021, 0.038)","0.612 (0.593, 0.64)","0.614 (0.596, 0.642)","0.003 (0, 0.008)",+,ns,+|ns
Neoplasms,phecode_101,Malignant neoplasm of the digestive organs,"0.675 (0.665, 0.684)","0.676 (0.666, 0.682)","0 (-0.004, 0.004)","0.625 (0.593, 0.646)","0.635 (0.605, 0.661)","0.01 (0.001, 0.016)",ns,+,ns|+
Cardio,phecode_403,Angina pectoris,"0.682 (0.676, 0.69)","0.684 (0.676, 0.692)","0.001 (-0.003, 0.007)","0.66 (0.645, 0.678)","0.666 (0.653, 0.683)","0.007 (0.001, 0.012)",ns,+,ns|+
GI,phecode_528,Nausea and vomiting,"0.601 (0.591, 0.609)","0.609 (0.599, 0.616)","0.008 (0.002, 0.013)","0.624 (0.603, 0.648)","0.627 (0.605, 0.65)","0.002 (0.001, 0.004)",+,+,+|+
Cardio,phecode_424,Heart failure,"0.744 (0.737, 0.754)","0.759 (0.75, 0.769)","0.014 (0.008, 0.02)","0.768 (0.754, 0.785)","0.772 (0.758, 0.79)","0.003 (0.001, 0.006)",+,+,+|+
Neuro,phecode_350,Other symptoms involving nervous system,"0.697 (0.683, 0.708)","0.718 (0.705, 0.729)","0.02 (0.012, 0.029)","0.801 (0.784, 0.805)","0.804 (0.789, 0.808)","0.003 (0.001, 0.005)",+,+,+|+
Blood,phecode_160,Nutritional anemias,"0.6 (0.589, 0.608)","0.628 (0.618, 0.636)","0.028 (0.02, 0.035)","0.617 (0.61, 0.628)","0.623 (0.611, 0.636)","0.005 (0.001, 0.009)",+,+,+|+
Resp,phecode_486,Other respiratory disorders,"0.651 (0.633, 0.665)","0.681 (0.662, 0.698)","0.03 (0.014, 0.042)","0.622 (0.583, 0.638)","0.635 (0.59, 0.653)","0.009 (0.001, 0.021)",+,+,+|+
ID,phecode_089-3,Fungal infections,"0.649 (0.635, 0.663)","0.647 (0.626, 0.665)","-0.003 (-0.015, 0.012)","0.591 (0.542, 0.629)","0.614 (0.566, 0.644)","0.023 (0.002, 0.045)",ns,+,ns|+
GI,phecode_520-11,Inguinal hernia,"0.799 (0.791, 0.804)","0.799 (0.791, 0.804)","0 (0, 0)","0.712 (0.704, 0.728)","0.724 (0.714, 0.742)","0.013 (0.002, 0.018)",ns,+,ns|+
Endo,phecode_200,Disorders of thyroid gland,"0.669 (0.66, 0.677)","0.67 (0.663, 0.68)","0.002 (0, 0.004)","0.646 (0.634, 0.661)","0.651 (0.638, 0.664)","0.005 (0.002, 0.008)",ns,+,ns|+
Musc/Skel,phecode_703,Chrystal arthropathies,"0.765 (0.755, 0.774)","0.77 (0.76, 0.779)","0.006 (0.001, 0.011)","0.726 (0.697, 0.745)","0.729 (0.704, 0.749)","0.004 (0.002, 0.007)",+,+,+|+
Genitourinary,phecode_583,Chronic kidney disease,"0.721 (0.713, 0.73)","0.728 (0.719, 0.737)","0.007 (0.001, 0.012)","0.746 (0.728, 0.749)","0.749 (0.734, 0.755)","0.004 (0.002, 0.006)",+,+,+|+
Resp,phecode_483,Pleural effusion,"0.68 (0.667, 0.69)","0.691 (0.682, 0.704)","0.011 (0.004, 0.018)","0.637 (0.626, 0.653)","0.642 (0.631, 0.659)","0.004 (0.002, 0.006)",+,+,+|+
Cardio,phecode_401-1,Essential hypertension,"0.663 (0.66, 0.667)","0.675 (0.672, 0.679)","0.012 (0.01, 0.014)","0.639 (0.628, 0.651)","0.643 (0.634, 0.657)","0.004 (0.002, 0.007)",+,+,+|+
Cardio,phecode_401,Hypertension,"0.664 (0.659, 0.667)","0.676 (0.672, 0.679)","0.012 (0.01, 0.014)","0.637 (0.632, 0.645)","0.642 (0.637, 0.65)","0.005 (0.002, 0.006)",+,+,+|+
Musc/Skel,phecode_724,Other symptoms and disorders of the soft tissue,"0.567 (0.557, 0.578)","0.586 (0.577, 0.597)","0.018 (0.011, 0.026)","0.547 (0.518, 0.577)","0.562 (0.551, 0.594)","0.022 (0.002, 0.038)",+,+,+|+
Blood,phecode_164-1,Microcytic anemia,"0.592 (0.582, 0.606)","0.619 (0.612, 0.631)","0.028 (0.018, 0.038)","0.613 (0.595, 0.628)","0.619 (0.602, 0.632)","0.005 (0.002, 0.01)",+,+,+|+
Resp,phecode_460-2,Acute lower respiratory infection,"0.645 (0.635, 0.655)","0.678 (0.669, 0.687)","0.033 (0.024, 0.04)","0.716 (0.703, 0.731)","0.723 (0.709, 0.737)","0.006 (0.002, 0.011)",+,+,+|+
Neuro,phecode_328-1,Alzheimer's disease,"0.812 (0.793, 0.829)","0.808 (0.788, 0.826)","-0.004 (-0.009, 0)","0.757 (0.721, 0.793)","0.768 (0.73, 0.797)","0.01 (0.003, 0.023)",ns,+,ns|+
Neoplasms,phecode_101-4,Malignant neoplasm of the colon and rectum,"0.683 (0.672, 0.696)","0.682 (0.669, 0.695)","-0.002 (-0.007, 0.003)","0.592 (0.562, 0.639)","0.599 (0.566, 0.642)","0.004 (0.003, 0.016)",ns,+,ns|+
Neoplasms,phecode_136,Benign neoplasm of the digestive organs,"0.587 (0.581, 0.594)","0.588 (0.582, 0.595)","0.001 (-0.001, 0.003)","0.581 (0.561, 0.6)","0.587 (0.568, 0.605)","0.007 (0.003, 0.009)",ns,+,ns|+
Cardio,phecode_440,Embolism and thrombosis,"0.633 (0.622, 0.642)","0.644 (0.635, 0.654)","0.011 (0.004, 0.019)","0.472 (0.455, 0.493)","0.489 (0.464, 0.511)","0.015 (0.003, 0.026)",+,+,+|+
Resp,phecode_468,Pneumonia,"0.674 (0.667, 0.681)","0.693 (0.686, 0.701)","0.019 (0.013, 0.024)","0.73 (0.724, 0.734)","0.735 (0.728, 0.739)","0.004 (0.003, 0.007)",+,+,+|+
Musc/Skel,phecode_713,Symptoms related to joints,"0.578 (0.565, 0.592)","0.6 (0.587, 0.61)","0.022 (0.013, 0.03)","0.64 (0.627, 0.658)","0.647 (0.636, 0.662)","0.006 (0.003, 0.013)",+,+,+|+
Blood,phecode_164,Anemia,"0.605 (0.598, 0.611)","0.627 (0.62, 0.634)","0.023 (0.015, 0.029)","0.641 (0.621, 0.659)","0.647 (0.627, 0.665)","0.006 (0.003, 0.007)",+,+,+|+
GI,phecode_507,Lesions of mouth,"0.351 (0.331, 0.374)","0.39 (0.367, 0.412)","0.038 (0.021, 0.054)","0.536 (0.512, 0.576)","0.545 (0.522, 0.583)","0.008 (0.003, 0.019)",+,+,+|+
GI,phecode_522,Gastrointestinal inflammation,"0.577 (0.571, 0.583)","0.583 (0.576, 0.589)","0.005 (0.002, 0.009)","0.568 (0.557, 0.596)","0.574 (0.564, 0.602)","0.006 (0.004, 0.009)",+,+,+|+
Genitourinary,phecode_582,Acute kidney failure,"0.704 (0.695, 0.712)","0.726 (0.718, 0.734)","0.022 (0.015, 0.028)","0.744 (0.723, 0.749)","0.75 (0.73, 0.756)","0.006 (0.004, 0.009)",+,+,+|+
Resp,phecode_460,Acute respiratory infection,"0.629 (0.619, 0.638)","0.656 (0.647, 0.664)","0.028 (0.019, 0.035)","0.707 (0.703, 0.717)","0.717 (0.711, 0.73)","0.008 (0.004, 0.014)",+,+,+|+
GI,phecode_513,Peptic ulcer,"0.598 (0.589, 0.613)","0.606 (0.594, 0.622)","0.007 (-0.003, 0.017)","0.656 (0.64, 0.691)","0.669 (0.651, 0.7)","0.012 (0.005, 0.021)",ns,+,ns|+
Derm,phecode_660,Infection of the skin,"0.577 (0.568, 0.588)","0.604 (0.592, 0.615)","0.027 (0.016, 0.037)","0.67 (0.639, 0.689)","0.68 (0.665, 0.695)","0.014 (0.005, 0.027)",+,+,+|+
GI,phecode_520-1,Hernia of the abdominal wall,"0.724 (0.717, 0.732)","0.724 (0.717, 0.732)","0 (-0.001, 0.001)","0.681 (0.664, 0.692)","0.697 (0.683, 0.71)","0.015 (0.007, 0.025)",ns,+,ns|+
Genitourinary,phecode_585,Kidney stone disease,"0.643 (0.63, 0.656)","0.646 (0.631, 0.658)","0.003 (-0.004, 0.011)","0.595 (0.569, 0.637)","0.616 (0.582, 0.651)","0.014 (0.008, 0.022)",ns,+,ns|+
Resp,phecode_474-1,Emphysema,"0.695 (0.679, 0.714)","0.748 (0.726, 0.762)","0.051 (0.033, 0.072)","0.694 (0.662, 0.718)","0.731 (0.703, 0.747)","0.033 (0.009, 0.069)",+,+,+|+
Cardio,phecode_444-1,Varicose veins,"0.584 (0.573, 0.596)","0.591 (0.578, 0.602)","0.007 (-0.001, 0.017)","0.535 (0.488, 0.551)","0.567 (0.544, 0.592)","0.039 (0.01, 0.062)",ns,+,ns|+
Cardio,phecode_444-11,Varicose veins of lower extremities,"0.579 (0.565, 0.593)","0.578 (0.565, 0.593)","0 (-0.008, 0.01)","0.541 (0.517, 0.565)","0.571 (0.562, 0.593)","0.035 (0.011, 0.052)",ns,+,ns|+
GI,phecode_522-1,Inflammatory bowel disease,"0.535 (0.515, 0.554)","0.538 (0.521, 0.56)","0.004 (-0.018, 0.022)","0.425 (0.364, 0.46)","0.463 (0.446, 0.512)","0.046 (0.012, 0.088)",ns,+,ns|+
Derm,phecode_686-1,Pressure ulcer,"0.718 (0.702, 0.734)","0.749 (0.738, 0.765)","0.033 (0.021, 0.045)","0.785 (0.738, 0.805)","0.806 (0.766, 0.821)","0.02 (0.014, 0.028)",+,+,+|+
Derm,phecode_686,Chronic ulcer of skin,"0.706 (0.69, 0.72)","0.74 (0.726, 0.758)","0.035 (0.022, 0.044)","0.774 (0.749, 0.797)","0.793 (0.769, 0.818)","0.02 (0.014, 0.029)",+,+,+|+
Eye,phecode_374,Disorders of the retina,"0.678 (0.669, 0.686)","0.737 (0.728, 0.747)","0.06 (0.052, 0.069)","0.687 (0.676, 0.71)","0.712 (0.707, 0.729)","0.028 (0.015, 0.039)",+,+,+|+
GI,phecode_530,Disease of anus and rectum,"0.565 (0.55, 0.58)","0.567 (0.552, 0.58)","0.002 (-0.008, 0.011)","0.542 (0.523, 0.568)","0.565 (0.548, 0.588)","0.023 (0.017, 0.031)",ns,+,ns|+
Resp,phecode_474,Chronic obstructive pulmonary disease [COPD],"0.681 (0.673, 0.69)","0.728 (0.718, 0.736)","0.047 (0.039, 0.054)","0.685 (0.665, 0.699)","0.718 (0.692, 0.727)","0.032 (0.017, 0.039)",+,+,+|+
Endo,phecode_202,Diabetes mellitus,"0.635 (0.627, 0.641)","0.706 (0.7, 0.712)","0.072 (0.065, 0.078)","0.605 (0.586, 0.613)","0.63 (0.607, 0.642)","0.023 (0.021, 0.031)",+,+,+|+
Resp,phecode_487,Hemorrhage from respiratory passages,"0.623 (0.604, 0.64)","0.643 (0.626, 0.661)","0.019 (0.007, 0.03)","0.655 (0.641, 0.682)","0.685 (0.67, 0.713)","0.027 (0.023, 0.035)",+,+,+|+
Resp,phecode_479-3,Respiratory failure,"0.671 (0.649, 0.688)","0.697 (0.68, 0.722)","0.029 (0.013, 0.044)","0.657 (0.607, 0.684)","0.703 (0.661, 0.726)","0.043 (0.023, 0.069)",+,+,+|+
Resp,phecode_475,Asthma,"0.54 (0.533, 0.545)","0.555 (0.548, 0.561)","0.015 (0.009, 0.022)","0.498 (0.482, 0.509)","0.546 (0.534, 0.558)","0.047 (0.028, 0.074)",+,+,+|+
Eye,phecode_375,Abnormal intraocular pressure,"0.697 (0.688, 0.706)","0.75 (0.739, 0.758)","0.053 (0.044, 0.063)","0.633 (0.625, 0.647)","0.675 (0.664, 0.688)","0.041 (0.032, 0.047)",+,+,+|+
Resp,phecode_479,Pulmonary insufficiency and acute respiratory distress syndrome,"0.656 (0.643, 0.671)","0.677 (0.663, 0.692)","0.021 (0.011, 0.029)","0.657 (0.602, 0.683)","0.705 (0.662, 0.739)","0.048 (0.036, 0.065)",+,+,+|+
Eye,phecode_371,Cataract,"0.739 (0.734, 0.744)","0.801 (0.796, 0.804)","0.062 (0.057, 0.065)","0.707 (0.702, 0.712)","0.756 (0.752, 0.759)","0.048 (0.045, 0.054)",+,+,+|+
Metab,phecode_236,Overweight and obesity,"0.523 (0.516, 0.529)","0.618 (0.611, 0.624)","0.095 (0.086, 0.102)","0.479 (0.447, 0.505)","0.561 (0.548, 0.59)","0.09 (0.049, 0.115)",+,+,+|+
GI,phecode_546,Other disorders of liver,"0.619 (0.606, 0.638)","0.637 (0.618, 0.656)","0.016 (0.002, 0.032)","0.532 (0.491, 0.568)","0.612 (0.59, 0.64)","0.079 (0.053, 0.099)",+,+,+|+
Mental,phecode_281,"Substance abuse, dependence, and withdrawl","0.539 (0.531, 0.547)","0.665 (0.657, 0.672)","0.126 (0.116, 0.135)","0.548 (0.517, 0.581)","0.656 (0.631, 0.683)","0.102 (0.062, 0.143)",+,+,+|+
Mental,phecode_282,Nicotine dependence (current and history of),"0.53 (0.519, 0.537)","0.66 (0.653, 0.665)","0.129 (0.122, 0.14)","0.544 (0.521, 0.561)","0.652 (0.626, 0.679)","0.111 (0.08, 0.152)",+,+,+|+
Mental,phecode_281-2,Substance dependence,"0.528 (0.518, 0.535)","0.666 (0.661, 0.673)","0.138 (0.132, 0.146)","0.546 (0.526, 0.562)","0.654 (0.635, 0.68)","0.104 (0.082, 0.139)",+,+,+|+
Mental,phecode_282-1,Current tobacco use and nicotine dependence,"0.53 (0.521, 0.539)","0.66 (0.652, 0.667)","0.129 (0.119, 0.141)","0.538 (0.495, 0.571)","0.645 (0.62, 0.693)","0.105 (0.09, 0.154)",+,+,+|+
Blood,phecode_168-1,Hypo-coagulability,"0.655 (0.613, 0.691)","0.486 (0.438, 0.547)","-0.166 (-0.212, -0.104)",,,,-,NA,-|NA
GI,phecode_552-1,Cholangitis,"0.599 (0.575, 0.642)","0.566 (0.539, 0.612)","-0.035 (-0.049, -0.013)",,,,-,NA,-|NA
Blood,phecode_180,Other disorders involving the immune mechanism,"0.635 (0.612, 0.676)","0.602 (0.574, 0.647)","-0.032 (-0.057, -0.008)",,,,-,NA,-|NA
Musc/Skel,phecode_721-6,Baker's cyst [popliteal cyst],"0.627 (0.59, 0.665)","0.596 (0.561, 0.632)","-0.031 (-0.058, -0.012)",,,,-,NA,-|NA
GI,phecode_520-15,Incisional hernia,"0.585 (0.543, 0.618)","0.552 (0.521, 0.583)","-0.031 (-0.067, 0.005)",,,,ns,NA,ns|NA
Musc/Skel,phecode_702,Infective and reactive arthropathies,"0.574 (0.542, 0.6)","0.544 (0.509, 0.573)","-0.03 (-0.054, 0.001)",,,,ns,NA,ns|NA
Cardio,phecode_430-1,Nontraumatic subarachnoid hemorrhage,"0.643 (0.596, 0.675)","0.61 (0.569, 0.651)","-0.03 (-0.055, 0)",,,,ns,NA,ns|NA
Neuro,phecode_329-1,Memory loss,"0.615 (0.583, 0.657)","0.588 (0.544, 0.629)","-0.027 (-0.055, -0.005)",,,,-,NA,-|NA
GI,phecode_532-4,Volvulus,"0.596 (0.554, 0.63)","0.573 (0.527, 0.6)","-0.027 (-0.042, -0.005)",,,,-,NA,-|NA
Hearing,phecode_397-1,Tinnitus,"0.591 (0.557, 0.624)","0.564 (0.536, 0.595)","-0.026 (-0.055, 0)",,,,ns,NA,ns|NA
Neuro,phecode_324-3,Dystonia,"0.589 (0.557, 0.623)","0.567 (0.521, 0.602)","-0.026 (-0.054, 0)",,,,ns,NA,ns|NA
Genitourinary,phecode_601-12,Chronic prostatitis,"0.624 (0.584, 0.653)","0.597 (0.558, 0.627)","-0.025 (-0.041, -0.006)",,,,-,NA,-|NA
Cardio,phecode_423,Abnormal cardiac sounds,"0.648 (0.621, 0.668)","0.624 (0.596, 0.649)","-0.024 (-0.039, -0.009)",,,,-,NA,-|NA
Hearing,phecode_397,Other hearing abnormality,"0.579 (0.551, 0.618)","0.558 (0.527, 0.593)","-0.024 (-0.046, 0.002)",,,,ns,NA,ns|NA
Musc/Skel,phecode_704,Systemic vasculitis,"0.695 (0.658, 0.727)","0.672 (0.636, 0.702)","-0.024 (-0.035, -0.008)",,,,-,NA,-|NA
GI,phecode_506,Diseases of salivary glands,"0.572 (0.533, 0.616)","0.549 (0.498, 0.593)","-0.024 (-0.05, 0.014)",,,,ns,NA,ns|NA
Endo,phecode_200-22,Uninodular goiter [single thyroid nodule],"0.642 (0.597, 0.674)","0.619 (0.583, 0.653)","-0.023 (-0.047, 0.002)",,,,ns,NA,ns|NA
Genitourinary,phecode_625,Pain and other symptoms associated with female genital organs,"0.647 (0.605, 0.677)","0.623 (0.582, 0.66)","-0.023 (-0.038, -0.007)",,,,-,NA,-|NA
GI,phecode_504-32,Chronic periodontitis,"0.554 (0.515, 0.604)","0.534 (0.487, 0.569)","-0.023 (-0.057, 0.013)",,,,ns,NA,ns|NA
Cardio,phecode_423-1,Cardiac murmurs,"0.644 (0.621, 0.671)","0.623 (0.594, 0.647)","-0.023 (-0.043, -0.007)",,,,-,NA,-|NA
Eye,phecode_360,Inflammation of eyelids,"0.492 (0.465, 0.519)","0.471 (0.441, 0.493)","-0.022 (-0.04, 0.001)",,,,ns,NA,ns|NA
GI,phecode_530-3,Rectal prolapse,"0.694 (0.656, 0.727)","0.669 (0.634, 0.705)","-0.022 (-0.041, -0.005)",,,,-,NA,-|NA
Resp,phecode_494,Voice disturbance,"0.621 (0.574, 0.659)","0.601 (0.572, 0.638)","-0.021 (-0.047, 0.008)",,,,ns,NA,ns|NA
GI,phecode_522-7,Ulceration of the lower GI tract,"0.536 (0.513, 0.568)","0.517 (0.485, 0.551)","-0.021 (-0.053, 0.007)",,,,ns,NA,ns|NA
Neoplasms,phecode_123,Multiple myeloma and malignant plasma cell neoplasms,"0.69 (0.648, 0.721)","0.668 (0.624, 0.703)","-0.021 (-0.046, 0.002)",,,,ns,NA,ns|NA
Blood,phecode_180-3,Paraproteinemias,"0.675 (0.637, 0.71)","0.655 (0.615, 0.692)","-0.02 (-0.043, 0.006)",,,,ns,NA,ns|NA
Musc/Skel,phecode_710-3,Acquired deformities of the knee,"0.599 (0.577, 0.63)","0.579 (0.548, 0.607)","-0.02 (-0.036, -0.006)",,,,-,NA,-|NA
Neoplasms,phecode_122-22,Diffuse large B-cell lymphoma*,"0.656 (0.621, 0.698)","0.636 (0.601, 0.667)","-0.02 (-0.041, 0.003)",,,,ns,NA,ns|NA
Genitourinary,phecode_610,Benign mammary dysplasias,"0.416 (0.381, 0.461)","0.401 (0.357, 0.438)","-0.02 (-0.038, 0.01)",,,,ns,NA,ns|NA
Neoplasms,phecode_139-61,Hemangioma,"0.55 (0.512, 0.578)","0.525 (0.488, 0.566)","-0.02 (-0.043, 0)",,,,ns,NA,ns|NA
Eye,phecode_363-7,Stenosis and insufficiency of lacrimal passages,"0.643 (0.608, 0.681)","0.625 (0.582, 0.664)","-0.019 (-0.034, -0.007)",,,,-,NA,-|NA
Neoplasms,phecode_139-6,Hemangioma and lymphangioma,"0.55 (0.512, 0.581)","0.529 (0.496, 0.566)","-0.019 (-0.041, 0.008)",,,,ns,NA,ns|NA
Neoplasms,phecode_124,Myeloproliferative disorder,"0.677 (0.646, 0.71)","0.656 (0.625, 0.687)","-0.018 (-0.037, -0.006)",,,,-,NA,-|NA
Cardio,phecode_438-12,Thoracic aneurysm,"0.659 (0.625, 0.688)","0.643 (0.605, 0.676)","-0.018 (-0.052, 0.02)",,,,ns,NA,ns|NA
Blood,phecode_180-31,Monoclonal gammopathy,"0.685 (0.641, 0.726)","0.667 (0.628, 0.708)","-0.018 (-0.044, 0.014)",,,,ns,NA,ns|NA
Neoplasms,phecode_109-3,Malignant neoplasm of brain,"0.604 (0.567, 0.636)","0.581 (0.544, 0.616)","-0.018 (-0.051, 0.008)",,,,ns,NA,ns|NA
Neoplasms,phecode_123-1,Multiple myeloma,"0.675 (0.633, 0.713)","0.657 (0.61, 0.698)","-0.017 (-0.041, 0.012)",,,,ns,NA,ns|NA
Cardio,phecode_413-22,Aortic insufficiency,"0.69 (0.67, 0.712)","0.673 (0.654, 0.698)","-0.017 (-0.027, -0.003)",,,,-,NA,-|NA
Neuro,phecode_328-7,Vascular dementia,"0.805 (0.778, 0.828)","0.788 (0.76, 0.816)","-0.017 (-0.037, 0.002)",,,,ns,NA,ns|NA
Genitourinary,phecode_603,Disorders and symptoms of testis,"0.538 (0.51, 0.564)","0.521 (0.491, 0.547)","-0.017 (-0.039, 0.006)",,,,ns,NA,ns|NA
Neuro,phecode_349,Disorder of nervous system,"0.577 (0.547, 0.623)","0.568 (0.51, 0.611)","-0.016 (-0.06, 0.019)",,,,ns,NA,ns|NA
GI,phecode_530-1,Anal fissure,"0.544 (0.509, 0.581)","0.529 (0.493, 0.566)","-0.016 (-0.031, 0.002)",,,,ns,NA,ns|NA
Neoplasms,phecode_121-2,Chronic leukemia,"0.724 (0.696, 0.751)","0.709 (0.672, 0.738)","-0.016 (-0.031, -0.002)",,,,-,NA,-|NA
Neoplasms,phecode_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system","0.572 (0.54, 0.608)","0.556 (0.524, 0.588)","-0.016 (-0.038, 0.01)",,,,ns,NA,ns|NA
Endo,phecode_200-23,Multinodular goiter,"0.689 (0.648, 0.719)","0.673 (0.632, 0.71)","-0.016 (-0.035, 0.003)",,,,ns,NA,ns|NA
Derm,phecode_679-4,Pruritus,"0.574 (0.53, 0.621)","0.563 (0.505, 0.602)","-0.016 (-0.05, 0.02)",,,,ns,NA,ns|NA
GI,phecode_529-2,Abdominal distension and flatulence,"0.529 (0.504, 0.553)","0.514 (0.487, 0.537)","-0.015 (-0.033, 0.001)",,,,ns,NA,ns|NA
Neoplasms,phecode_148-2,Benign neoplasm of meninges (Meningioma),"0.663 (0.629, 0.709)","0.648 (0.612, 0.69)","-0.015 (-0.038, 0.004)",,,,ns,NA,ns|NA
Neoplasms,phecode_121,Leukemia,"0.693 (0.665, 0.72)","0.68 (0.649, 0.701)","-0.015 (-0.026, -0.003)",,,,-,NA,-|NA
Genitourinary,phecode_601,Inflammatory diseases of prostate,"0.652 (0.627, 0.672)","0.637 (0.609, 0.658)","-0.015 (-0.022, -0.006)",,,,-,NA,-|NA
Neoplasms,phecode_106-2,Malignant neoplasm of the uterus,"0.581 (0.556, 0.613)","0.567 (0.538, 0.6)","-0.014 (-0.03, -0.001)",,,,-,NA,-|NA
Resp,phecode_466,Tonsillitis and adenoiditis,"0.573 (0.533, 0.611)","0.556 (0.519, 0.59)","-0.014 (-0.033, 0.004)",,,,ns,NA,ns|NA
Genitourinary,phecode_601-1,Prostatitis,"0.65 (0.625, 0.671)","0.636 (0.61, 0.658)","-0.014 (-0.021, -0.003)",,,,-,NA,-|NA
Genitourinary,phecode_608,Other disorders of male genital organs,"0.526 (0.5, 0.554)","0.512 (0.486, 0.544)","-0.014 (-0.039, 0.01)",,,,ns,NA,ns|NA
Stat,phecode_990,Family history of digestive disorders,"0.582 (0.546, 0.612)","0.568 (0.538, 0.601)","-0.014 (-0.039, 0.011)",,,,ns,NA,ns|NA
Neoplasms,phecode_106-21,Malignant neoplasm of endometrium,"0.587 (0.558, 0.611)","0.574 (0.546, 0.594)","-0.013 (-0.027, 0.002)",,,,ns,NA,ns|NA
Musc/Skel,phecode_710,Acquired deformities of limbs,"0.616 (0.596, 0.643)","0.605 (0.581, 0.626)","-0.013 (-0.025, 0.001)",,,,ns,NA,ns|NA
Genitourinary,phecode_603-1,Hydrocele,"0.557 (0.527, 0.593)","0.545 (0.513, 0.581)","-0.013 (-0.041, 0.019)",,,,ns,NA,ns|NA
Neuro,phecode_356-2,Aphasia and dysphasia,"0.675 (0.638, 0.709)","0.664 (0.621, 0.702)","-0.013 (-0.034, 0.019)",,,,ns,NA,ns|NA
Neoplasms,phecode_139-54,Testicular limpoma,"0.567 (0.529, 0.611)","0.554 (0.518, 0.599)","-0.012 (-0.017, -0.006)",,,,-,NA,-|NA
GI,phecode_532-1,Intestinal fistula,"0.596 (0.562, 0.623)","0.582 (0.543, 0.612)","-0.012 (-0.037, 0.009)",,,,ns,NA,ns|NA
Hearing,phecode_390,Disorders of external ear,"0.593 (0.554, 0.632)","0.58 (0.546, 0.621)","-0.012 (-0.028, 0.005)",,,,ns,NA,ns|NA
Neoplasms,phecode_120-1,Myeloid,"0.693 (0.673, 0.715)","0.682 (0.66, 0.706)","-0.012 (-0.021, -0.002)",,,,-,NA,-|NA
Hearing,phecode_394-21,Paroxysmal vertigo,"0.665 (0.625, 0.704)","0.653 (0.617, 0.689)","-0.012 (-0.032, 0.01)",,,,ns,NA,ns|NA
Neuro,phecode_346,Brain damage and brain death,"0.596 (0.551, 0.637)","0.587 (0.536, 0.619)","-0.012 (-0.048, 0.024)",,,,ns,NA,ns|NA
Genitourinary,phecode_628,Ovarian cyst,"0.586 (0.56, 0.618)","0.575 (0.551, 0.606)","-0.011 (-0.021, 0.001)",,,,ns,NA,ns|NA
ID,phecode_009,Pseudomonas,"0.652 (0.625, 0.678)","0.639 (0.614, 0.666)","-0.011 (-0.035, 0.007)",,,,ns,NA,ns|NA
Blood,phecode_172,Other disorders of white blood cells,"0.598 (0.55, 0.672)","0.591 (0.536, 0.649)","-0.011 (-0.044, 0.019)",,,,ns,NA,ns|NA
Neoplasms,phecode_135,Benign neoplasm of the head and neck,"0.593 (0.577, 0.615)","0.582 (0.565, 0.606)","-0.011 (-0.019, -0.001)",,,,-,NA,-|NA
Neoplasms,phecode_144-1,Benign neoplasms of external female genital organs and cervix,"0.554 (0.515, 0.588)","0.546 (0.511, 0.57)","-0.011 (-0.032, 0.018)",,,,ns,NA,ns|NA
Mental,phecode_288-4,Phobic disorders,"0.651 (0.621, 0.677)","0.639 (0.611, 0.667)","-0.011 (-0.024, 0.006)",,,,ns,NA,ns|NA
