phecode_category,phecode, phecode_string, 1_,2_,3_,4_,5_,6_,7_,8_,9_,10_,1,2,3,4,5,6,7,8,9,10, rr
Musc/Skel,phecode_718-4,Low back pain,718,775,758,737,847,796,770,846,894,1055,0.147,0.159,0.155,0.151,0.174,0.163,0.158,0.173,0.183,0.216,1.47
GI,phecode_527,Abdominal pain,792,839,862,927,942,1022,1004,1033,1128,1167,0.169,0.179,0.184,0.198,0.201,0.219,0.215,0.221,0.241,0.25,1.473
Musc/Skel,phecode_711,Disorder of patella,126,139,131,145,163,146,153,167,158,186,0.021,0.023,0.022,0.024,0.027,0.025,0.026,0.028,0.027,0.031,1.476
Signs/Symptoms,phecode_800-1,Chest pain on breathing,86,105,84,116,106,116,104,116,112,127,0.014,0.017,0.014,0.019,0.018,0.019,0.017,0.019,0.019,0.021,1.477
Derm,phecode_666,Urticaria,99,98,101,106,142,141,131,126,148,147,0.017,0.017,0.017,0.018,0.024,0.024,0.022,0.021,0.025,0.025,1.485
Hearing,phecode_391-2,Eustachian tube disorders,151,171,166,158,180,192,198,221,221,225,0.025,0.029,0.028,0.027,0.03,0.032,0.033,0.037,0.037,0.038,1.49
Resp,phecode_462,Sinusitis,354,408,394,405,419,446,432,494,500,529,0.065,0.075,0.072,0.074,0.077,0.082,0.079,0.091,0.092,0.097,1.494
ID,phecode_097-1,Methicillin resistant Staphylococcus aureus,8,6,6,9,22,15,18,8,13,12,0.001,0.001,0.001,0.001,0.004,0.002,0.003,0.001,0.002,0.002,1.5
Musc/Skel,phecode_712-1,Loose body in joint,10,14,14,18,17,14,17,15,13,15,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.002,1.5
GI,phecode_526-11,Intestinal e.coli,16,18,9,17,20,13,25,14,28,24,0.003,0.003,0.001,0.003,0.003,0.002,0.004,0.002,0.005,0.004,1.5
Blood,phecode_171,Increased white blood cell count,14,6,14,11,16,26,20,26,25,21,0.002,0.001,0.002,0.002,0.003,0.004,0.003,0.004,0.004,0.003,1.5
Derm,phecode_688-1,Sarcoidosis,12,9,9,11,5,10,9,14,12,18,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.002,0.002,0.003,1.5
Signs/Symptoms,phecode_812-2,Angioneurotic edema,14,18,12,16,19,16,16,18,15,21,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.003,1.5
Neoplasms,phecode_139-3,Benign neoplasm of other connective and soft tissue,10,6,6,9,17,8,12,10,10,15,0.002,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.002,0.002,1.5
Eye,phecode_366-4,Vascular abnormalities of conjunctiva,16,12,20,17,27,31,22,20,30,24,0.003,0.002,0.003,0.003,0.004,0.005,0.004,0.003,0.005,0.004,1.5
GI,phecode_556-3,"Abdominal or pelvic swelling, mass, or lump",62,55,87,77,81,91,77,88,95,93,0.01,0.009,0.014,0.013,0.013,0.015,0.013,0.015,0.016,0.015,1.5
Genitourinary,phecode_613-1,Inflammatory disease of breast,32,18,23,20,31,17,24,22,20,48,0.01,0.006,0.007,0.006,0.01,0.005,0.007,0.007,0.006,0.015,1.5
Derm,phecode_665,Psoriasis,85,98,100,104,104,115,114,123,139,128,0.014,0.017,0.017,0.018,0.018,0.019,0.019,0.021,0.023,0.022,1.506
Eye,phecode_360,Inflammation of eyelids,296,309,323,327,356,371,389,415,478,446,0.051,0.053,0.056,0.056,0.061,0.064,0.067,0.072,0.082,0.077,1.507
Neoplasms,phecode_135,Benign neoplasm of the head and neck,65,57,48,69,66,66,72,60,76,98,0.011,0.009,0.008,0.011,0.011,0.011,0.012,0.01,0.013,0.016,1.508
Resp,phecode_464,Nasopharyngitis,82,83,111,105,101,118,105,96,130,124,0.014,0.014,0.019,0.018,0.017,0.02,0.018,0.016,0.022,0.021,1.512
Resp,phecode_475,Asthma,199,205,228,250,244,243,280,278,309,301,0.036,0.037,0.041,0.045,0.044,0.044,0.051,0.051,0.056,0.055,1.513
Genitourinary,phecode_619-2,"Disorders of uterus, NEC",37,36,38,27,43,44,42,45,43,56,0.011,0.011,0.012,0.008,0.013,0.013,0.013,0.014,0.013,0.017,1.514
Genitourinary,phecode_603-2,Spermatocele,35,37,45,42,33,45,33,44,53,53,0.013,0.014,0.017,0.015,0.012,0.017,0.012,0.016,0.019,0.019,1.515
Derm,phecode_676-2,Scar conditions and fibrosis of skin,27,43,29,40,39,54,41,50,42,41,0.004,0.007,0.005,0.007,0.006,0.009,0.007,0.008,0.007,0.007,1.519
Resp,phecode_460-1,Acute upper respiratory infection,783,840,862,913,893,957,1027,1008,988,1192,0.181,0.194,0.199,0.211,0.206,0.221,0.237,0.233,0.228,0.276,1.523
Eye,phecode_367-6,Episcleritis,17,9,15,10,13,14,18,23,23,26,0.003,0.001,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.004,1.53
Derm,phecode_668,Dermatitis [eczema],445,466,534,552,553,575,663,630,652,684,0.087,0.091,0.104,0.108,0.108,0.112,0.129,0.123,0.127,0.133,1.537
Genitourinary,phecode_618-12,Rectocele,52,71,66,68,75,85,68,74,90,80,0.016,0.022,0.02,0.021,0.023,0.026,0.021,0.023,0.028,0.024,1.538
Neuro,phecode_333,Sleep disorders,402,407,439,464,446,472,475,523,574,620,0.071,0.072,0.077,0.082,0.079,0.083,0.084,0.092,0.101,0.109,1.543
Resp,phecode_471-3,Hypertrophy of nasal turbinates,11,7,13,10,11,7,14,14,20,17,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.003,0.003,1.546
Derm,phecode_668-3,Contact dermatitis,99,99,118,124,137,130,134,128,143,153,0.017,0.017,0.02,0.021,0.023,0.022,0.023,0.022,0.024,0.026,1.546
Genitourinary,phecode_614-1,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)",22,16,12,20,17,16,15,21,17,34,0.007,0.005,0.004,0.006,0.005,0.005,0.005,0.006,0.005,0.01,1.546
Hearing,phecode_390-1,Otitis externa,329,368,379,399,414,460,422,436,440,510,0.058,0.065,0.067,0.071,0.074,0.082,0.075,0.078,0.078,0.091,1.55
GI,phecode_502,Other diseases of teeth and supporting structures,76,82,97,86,98,88,88,89,113,118,0.013,0.014,0.016,0.014,0.016,0.015,0.015,0.015,0.019,0.019,1.553
Signs/Symptoms,phecode_802,Throat pain,109,112,146,147,169,119,133,141,146,170,0.019,0.019,0.025,0.025,0.029,0.02,0.023,0.024,0.025,0.029,1.56
Genitourinary,phecode_622,Polyp of female genital organs,74,71,75,77,93,90,90,100,104,116,0.023,0.022,0.024,0.024,0.029,0.028,0.028,0.032,0.033,0.037,1.568
Genitourinary,phecode_580-3,Nephrotic syndrome,14,13,16,20,17,12,22,25,21,22,0.002,0.002,0.003,0.003,0.003,0.002,0.004,0.004,0.003,0.004,1.572
Eye,phecode_362-5,Cysts of eyelid,14,15,15,12,23,15,17,14,33,22,0.002,0.002,0.002,0.002,0.004,0.002,0.003,0.002,0.005,0.004,1.572
Signs/Symptoms,phecode_800,Chest pain,591,682,686,725,717,789,775,802,815,929,0.114,0.132,0.133,0.14,0.139,0.152,0.15,0.155,0.157,0.179,1.572
Derm,phecode_679,Skin symptoms,793,908,972,1014,1035,1082,1106,1167,1169,1250,0.16,0.184,0.197,0.205,0.209,0.219,0.224,0.236,0.236,0.253,1.577
Hearing,phecode_391-1,Otitis media,157,224,201,219,244,191,230,241,251,249,0.027,0.039,0.035,0.038,0.042,0.033,0.04,0.042,0.043,0.043,1.586
GI,phecode_522-12,Ulcerative colitis,17,16,26,19,19,28,25,18,34,27,0.003,0.003,0.004,0.003,0.003,0.005,0.004,0.003,0.006,0.004,1.588
GI,phecode_529-1,Diarrhea,333,328,330,403,385,386,430,464,485,529,0.059,0.058,0.058,0.071,0.068,0.068,0.076,0.082,0.086,0.094,1.589
Derm,phecode_674,Disorders of pigmentation,108,97,124,122,122,137,139,114,148,172,0.018,0.016,0.021,0.02,0.02,0.023,0.023,0.019,0.025,0.029,1.593
Musc/Skel,phecode_710-31,Genu valgum (acquired),5,7,9,11,6,5,10,21,21,8,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.001,1.6
Genitourinary,phecode_618-1,Prolapse of vaginal walls,107,153,136,129,164,174,178,164,194,172,0.034,0.048,0.043,0.04,0.051,0.055,0.056,0.051,0.061,0.054,1.608
GI,phecode_557,Gastrointestinal hemorrhage,378,378,411,452,448,467,510,515,488,610,0.067,0.067,0.072,0.08,0.079,0.082,0.09,0.091,0.086,0.107,1.614
Signs/Symptoms,phecode_840,Allergy,381,432,474,497,457,506,521,556,548,615,0.073,0.082,0.09,0.095,0.087,0.097,0.099,0.106,0.105,0.117,1.614
Derm,phecode_668-4,Dermatitis due to substances taken internally,13,3,11,14,17,10,19,13,21,21,0.002,0,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.003,1.616
Mental,phecode_292,Somatoform disorders,13,9,16,16,10,8,7,14,12,21,0.002,0.001,0.003,0.003,0.002,0.001,0.001,0.002,0.002,0.003,1.616
Derm,phecode_683-1,Ingrowing nail,65,85,86,93,85,99,84,117,97,105,0.011,0.014,0.014,0.015,0.014,0.016,0.014,0.019,0.016,0.017,1.616
Musc/Skel,phecode_702,Infective and reactive arthropathies,21,29,24,17,22,19,24,38,27,34,0.003,0.005,0.004,0.003,0.004,0.003,0.004,0.006,0.004,0.006,1.619
GI,phecode_537-1,Peritonitis,29,27,24,31,20,24,31,32,36,47,0.005,0.004,0.004,0.005,0.003,0.004,0.005,0.005,0.006,0.008,1.621
Genitourinary,phecode_614-52,Vaginitis and vulvovaginitis,109,121,128,109,122,99,137,131,154,177,0.036,0.04,0.042,0.036,0.04,0.033,0.045,0.043,0.051,0.058,1.624
Mental,phecode_286-1,Bipolar disorder,8,10,4,7,14,12,8,19,15,13,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.003,0.002,0.002,1.625
Stat,phecode_979,Transplated organ,16,11,13,9,9,16,18,16,24,26,0.003,0.002,0.002,0.001,0.001,0.003,0.003,0.003,0.004,0.004,1.625
Musc/Skel,phecode_734,Diseases of the jaws,38,31,37,37,36,36,47,27,43,62,0.006,0.005,0.006,0.006,0.006,0.006,0.008,0.004,0.007,0.01,1.632
Hearing,phecode_392,Otalgia and effusion of ear,228,245,229,235,266,290,326,315,308,372,0.039,0.042,0.039,0.04,0.046,0.05,0.056,0.054,0.053,0.064,1.632
Genitourinary,phecode_627-3,Postmenopausal atrophic vaginitis,109,138,151,147,166,161,174,190,191,178,0.034,0.043,0.047,0.045,0.051,0.05,0.054,0.059,0.059,0.055,1.634
GI,phecode_525-3,Disorders of intestinal carbohydrate absorption,11,8,10,9,7,5,7,16,17,18,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.003,0.003,0.003,1.637
Genitourinary,phecode_618,Genital prolapse,127,160,167,164,189,211,198,202,224,209,0.04,0.051,0.053,0.052,0.06,0.067,0.063,0.064,0.071,0.066,1.646
Neuro,phecode_355-1,Coma,20,17,17,20,15,18,24,20,27,33,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.004,0.005,1.65
Resp,phecode_464-1,Acute nasopharyngitis,80,87,106,108,108,101,108,110,114,132,0.013,0.015,0.018,0.018,0.018,0.017,0.018,0.018,0.019,0.022,1.65
GI,phecode_532,Other disorders of the intestines,83,65,77,75,100,100,104,132,114,137,0.014,0.011,0.013,0.012,0.017,0.017,0.017,0.022,0.019,0.023,1.651
Musc/Skel,phecode_718-5,Sciatica,283,290,305,323,326,364,371,429,434,468,0.05,0.051,0.053,0.057,0.057,0.064,0.065,0.075,0.076,0.082,1.654
Resp,phecode_471-2,Deviated nasal septum,38,33,34,32,35,43,48,45,64,63,0.006,0.005,0.006,0.005,0.006,0.007,0.008,0.007,0.011,0.01,1.658
Genitourinary,phecode_614-5,"Inflammatory disease of cervix, vagina, and vulva",129,142,128,140,131,134,139,161,183,214,0.043,0.048,0.043,0.047,0.044,0.045,0.047,0.054,0.061,0.072,1.659
Hearing,phecode_395,Other diseases of inner ear,121,126,147,166,167,177,158,173,178,201,0.02,0.021,0.025,0.028,0.028,0.03,0.027,0.029,0.03,0.034,1.661
Cardio,phecode_413-42,Pulmonary valve insufficiency*,9,3,2,6,8,18,15,16,22,15,0.001,0,0,0.001,0.001,0.003,0.002,0.003,0.004,0.002,1.667
Endo,phecode_204-4,Prediabetes*,6,4,7,14,10,8,13,19,17,10,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.003,0.003,0.002,1.667
Neuro,phecode_352-3,Parageusia*,9,19,15,23,17,15,16,21,19,15,0.001,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.002,1.667
Endo,phecode_200-22,Uninodular goiter [single thyroid nodule],24,19,25,27,24,34,38,37,47,40,0.004,0.003,0.004,0.004,0.004,0.006,0.006,0.006,0.008,0.007,1.667
GI,phecode_509-1,Glossitis,24,26,32,24,33,37,33,40,38,40,0.004,0.004,0.005,0.004,0.005,0.006,0.005,0.007,0.006,0.007,1.667
Neuro,phecode_334-21,Bell's palsy,24,14,23,28,16,22,30,38,32,40,0.004,0.002,0.004,0.005,0.003,0.004,0.005,0.006,0.005,0.007,1.667
Neuro,phecode_336-5,Mononeuritis of lower limb,69,82,97,75,107,92,93,93,116,115,0.011,0.014,0.016,0.012,0.018,0.015,0.015,0.015,0.019,0.019,1.667
Neoplasms,phecode_135-5,Benign neoplasm of the paranasal sinus and nasal cavity,45,49,44,36,55,43,48,45,56,75,0.007,0.008,0.007,0.006,0.009,0.007,0.008,0.007,0.009,0.012,1.667
Mental,phecode_286-21,"Major depressive disorder, recurrent",24,37,15,28,21,20,22,29,32,40,0.004,0.006,0.002,0.005,0.003,0.003,0.004,0.005,0.005,0.007,1.667
Endo,phecode_215,Testicular dysfunction,9,10,16,8,6,4,12,12,11,15,0.003,0.004,0.006,0.003,0.002,0.001,0.004,0.004,0.004,0.005,1.667
Signs/Symptoms,phecode_832-5,Acetonuria,64,68,83,75,84,92,104,107,105,107,0.01,0.011,0.014,0.012,0.014,0.015,0.017,0.018,0.017,0.018,1.672
Hearing,phecode_395-1,Labyrinthitis,111,125,142,150,137,186,142,160,172,186,0.019,0.021,0.024,0.025,0.023,0.031,0.024,0.027,0.029,0.031,1.676
Genitourinary,phecode_614,Inflammatory diseases of female pelvic organs,144,154,144,151,155,149,148,172,206,242,0.049,0.053,0.049,0.052,0.053,0.051,0.051,0.059,0.071,0.083,1.681
Derm,phecode_668-2,Seborrheic dermatitis,102,107,113,134,131,153,154,173,159,172,0.017,0.018,0.019,0.023,0.022,0.026,0.026,0.029,0.027,0.029,1.687
Eye,phecode_362,Other disorders of the eyelids,58,80,74,77,104,80,89,104,97,98,0.01,0.013,0.012,0.013,0.017,0.013,0.015,0.017,0.016,0.016,1.69
Neuro,phecode_333-2,Insomnia,165,166,177,210,219,226,229,251,274,280,0.028,0.028,0.03,0.036,0.037,0.038,0.039,0.043,0.047,0.048,1.697
Musc/Skel,phecode_722-1,Plantar fascial fibromatosis [Plantar fasciitis],279,271,292,268,318,317,324,349,378,474,0.047,0.046,0.049,0.045,0.054,0.054,0.055,0.059,0.064,0.08,1.699
ID,phecode_097,Drug resistant microorganisms,10,9,7,12,12,22,15,15,18,17,0.002,0.001,0.001,0.002,0.002,0.004,0.002,0.002,0.003,0.003,1.7
Resp,phecode_463-2,Allergic rhinitis,224,219,232,252,222,258,257,245,258,381,0.04,0.039,0.042,0.045,0.04,0.046,0.046,0.044,0.046,0.068,1.701
Musc/Skel,phecode_716-2,Degenerative disc disease,54,61,59,65,59,78,68,76,86,92,0.009,0.01,0.01,0.011,0.01,0.013,0.011,0.013,0.014,0.015,1.704
Genitourinary,phecode_619,Noninflammatory female genital disorders,310,328,330,316,337,334,400,427,466,529,0.111,0.118,0.118,0.113,0.121,0.12,0.143,0.153,0.167,0.19,1.707
GI,phecode_503,Diseases of pulp and periapical tissues,65,68,83,89,82,78,74,52,91,111,0.011,0.011,0.014,0.015,0.014,0.013,0.012,0.009,0.015,0.018,1.708
Neuro,phecode_335,Nerve root and plexus disorders,86,84,76,86,100,99,102,126,114,147,0.014,0.014,0.012,0.014,0.016,0.016,0.017,0.021,0.019,0.024,1.71
Derm,phecode_660-12,Dermatophytosis,317,356,374,432,415,428,460,500,541,543,0.057,0.064,0.068,0.078,0.075,0.078,0.083,0.091,0.098,0.098,1.713
ID,phecode_052,Herpesvirus,265,325,304,389,407,424,414,468,422,454,0.047,0.058,0.054,0.069,0.073,0.076,0.074,0.083,0.075,0.081,1.714
Musc/Skel,phecode_728-1,Chondromalacia,14,10,8,9,10,19,12,17,23,24,0.002,0.002,0.001,0.001,0.002,0.003,0.002,0.003,0.004,0.004,1.715
Genitourinary,phecode_601-1,Prostatitis,35,43,56,60,56,52,47,35,41,60,0.013,0.016,0.02,0.022,0.02,0.019,0.017,0.013,0.015,0.022,1.715
GI,phecode_507,Lesions of mouth,137,139,144,161,150,192,181,213,222,235,0.023,0.023,0.024,0.027,0.025,0.032,0.03,0.036,0.037,0.039,1.716
Musc/Skel,phecode_723-1,Adhesive capsulitis of shoulder,92,125,128,133,132,143,113,125,144,158,0.015,0.021,0.021,0.022,0.022,0.024,0.019,0.021,0.024,0.026,1.718
Neuro,phecode_336,Mononeuropathies,209,277,277,314,310,343,326,338,381,360,0.036,0.048,0.048,0.054,0.053,0.059,0.056,0.058,0.066,0.062,1.723
Endo,phecode_200-3,Thyrotoxicosis [hyperthyroidism],33,34,43,50,67,57,52,56,50,57,0.005,0.006,0.007,0.008,0.011,0.009,0.009,0.009,0.008,0.009,1.728
Neoplasms,phecode_104,Malignant sarcoma-related cancers,15,13,17,24,17,28,31,28,25,26,0.002,0.002,0.003,0.004,0.003,0.005,0.005,0.005,0.004,0.004,1.734
Signs/Symptoms,phecode_840-1,Food allergy,34,28,29,36,43,56,35,51,48,59,0.006,0.005,0.005,0.006,0.007,0.009,0.006,0.008,0.008,0.01,1.736
Genitourinary,phecode_601,Inflammatory diseases of prostate,34,45,59,58,54,51,48,35,42,59,0.012,0.016,0.021,0.021,0.02,0.019,0.017,0.013,0.015,0.021,1.736
Resp,phecode_469-1,Acute bronchitis,19,18,25,26,21,34,32,26,48,33,0.003,0.003,0.004,0.004,0.003,0.006,0.005,0.004,0.008,0.005,1.737
ID,phecode_096,Contact or exposure to infectious agent,42,45,42,33,39,34,49,50,60,73,0.007,0.007,0.007,0.005,0.006,0.006,0.008,0.008,0.01,0.012,1.738
Signs/Symptoms,phecode_840-2,Allergy to insects,101,122,124,140,148,155,141,140,173,176,0.017,0.02,0.021,0.023,0.025,0.026,0.024,0.023,0.029,0.029,1.743
Musc/Skel,phecode_721-1,Synovitis and tenosynovitis,266,304,358,331,382,380,407,404,397,465,0.046,0.052,0.062,0.057,0.066,0.065,0.07,0.07,0.068,0.08,1.748
Derm,phecode_660-1,Fungal infection of the skin,389,484,528,504,504,613,575,599,623,683,0.072,0.09,0.098,0.093,0.093,0.114,0.107,0.111,0.116,0.127,1.756
Musc/Skel,phecode_718-3,Mid back pain,50,56,59,72,59,71,76,72,69,88,0.008,0.009,0.01,0.012,0.01,0.012,0.013,0.012,0.011,0.015,1.76
Derm,phecode_679-2,Pallor and flushing,17,17,24,31,23,35,41,35,25,30,0.003,0.003,0.004,0.005,0.004,0.006,0.007,0.006,0.004,0.005,1.765
Neoplasms,phecode_138,Benign neoplasm of the skin,298,382,411,395,433,464,437,476,503,529,0.055,0.07,0.075,0.072,0.079,0.085,0.08,0.087,0.092,0.097,1.775
Derm,phecode_660-6,Cellulitis and abscess,468,449,495,543,561,620,663,667,715,831,0.084,0.081,0.089,0.097,0.101,0.111,0.119,0.12,0.128,0.149,1.776
GI,phecode_522-7,Ulceration of the lower GI tract,18,20,15,10,27,22,27,22,32,32,0.003,0.003,0.002,0.002,0.004,0.004,0.004,0.004,0.005,0.005,1.778
Mental,phecode_299,"Mental disorder, not otherwise specified",27,24,21,34,25,29,29,35,37,48,0.004,0.004,0.003,0.006,0.004,0.005,0.005,0.006,0.006,0.008,1.778
Signs/Symptoms,phecode_807,Malaise and fatigue,487,519,572,603,638,693,707,705,791,866,0.089,0.095,0.105,0.111,0.117,0.127,0.13,0.129,0.145,0.159,1.779
Genitourinary,phecode_618-2,Uterine/Uterovaginal prolapse,41,77,70,83,97,90,97,88,99,73,0.013,0.024,0.022,0.026,0.03,0.028,0.03,0.027,0.03,0.022,1.781
Genitourinary,phecode_624,Symptoms involving female genital tract,32,38,44,44,43,48,46,44,49,57,0.01,0.011,0.013,0.013,0.013,0.014,0.014,0.013,0.015,0.017,1.781
Resp,phecode_462-1,Acute sinusitis,167,210,190,212,198,216,228,238,255,298,0.029,0.037,0.033,0.037,0.035,0.038,0.04,0.042,0.045,0.052,1.785
Resp,phecode_471-5,Nasal polyps,42,46,38,42,60,37,45,48,52,75,0.007,0.008,0.006,0.007,0.01,0.006,0.007,0.008,0.009,0.012,1.786
Genitourinary,phecode_618-11,Cystocele,73,87,114,97,122,110,129,137,144,131,0.023,0.027,0.035,0.03,0.038,0.034,0.04,0.042,0.044,0.04,1.795
Genitourinary,phecode_581-33,Stricture or kinking of ureter,15,11,9,14,19,11,19,21,24,27,0.002,0.002,0.001,0.002,0.003,0.002,0.003,0.003,0.004,0.004,1.8
Eye,phecode_383,Irregular eye movements,10,3,8,14,7,10,9,16,13,18,0.002,0,0.001,0.002,0.001,0.002,0.001,0.003,0.002,0.003,1.8
Signs/Symptoms,phecode_800-2,Precordial pain,72,78,81,104,105,97,101,99,107,130,0.012,0.013,0.013,0.017,0.017,0.016,0.017,0.016,0.018,0.021,1.806
Resp,phecode_463-5,Postnasal drip,68,78,99,94,96,114,115,127,115,123,0.011,0.013,0.016,0.015,0.016,0.019,0.019,0.021,0.019,0.02,1.809
Derm,phecode_660-4,Carbuncle and furuncle,69,73,79,66,80,77,85,98,79,125,0.011,0.012,0.013,0.011,0.013,0.013,0.014,0.016,0.013,0.021,1.812
GI,phecode_503-5,Periapical abscess,59,73,87,83,79,79,65,48,93,107,0.01,0.012,0.014,0.014,0.013,0.013,0.011,0.008,0.015,0.018,1.814
Hearing,phecode_390,Disorders of external ear,594,690,769,855,936,988,989,960,1087,1078,0.116,0.135,0.15,0.167,0.183,0.193,0.193,0.187,0.212,0.21,1.815
GI,phecode_537,Abnormality of the peritoneum,33,28,26,33,35,29,33,43,49,60,0.005,0.005,0.004,0.005,0.006,0.005,0.005,0.007,0.008,0.01,1.818
Neuro,phecode_334-1,Trigeminal nerve disorders [CN5],22,28,25,39,36,39,47,40,52,40,0.004,0.005,0.004,0.006,0.006,0.006,0.008,0.007,0.009,0.007,1.818
Neuro,phecode_324-34,Torticollis,44,55,54,56,61,57,57,84,66,80,0.007,0.009,0.009,0.009,0.01,0.009,0.009,0.014,0.011,0.013,1.818
Derm,phecode_674-2,Hypepigmentation,39,41,39,39,42,46,55,50,65,71,0.006,0.007,0.006,0.006,0.007,0.008,0.009,0.008,0.011,0.012,1.821
Musc/Skel,phecode_734-9,Jaw pain,31,19,35,34,40,36,38,30,39,57,0.005,0.003,0.006,0.006,0.007,0.006,0.006,0.005,0.006,0.009,1.839
Genitourinary,phecode_599,Other symptoms/disorders or the urinary system,431,489,520,600,615,716,717,739,802,793,0.074,0.084,0.089,0.103,0.106,0.123,0.123,0.127,0.138,0.136,1.84
Musc/Skel,phecode_716,Intervertebral disc disorder,169,195,195,213,206,239,251,250,266,311,0.029,0.033,0.033,0.036,0.035,0.041,0.043,0.042,0.045,0.053,1.841
Neoplasms,phecode_138-1,"Nevus, non-neoplastic",32,46,45,47,41,39,51,41,63,59,0.005,0.008,0.007,0.008,0.007,0.006,0.008,0.007,0.01,0.01,1.844
Neuro,phecode_349-2,Abnormal results of function studies of peripheral nervous system,13,17,17,10,20,29,23,29,23,24,0.002,0.003,0.003,0.002,0.003,0.005,0.004,0.005,0.004,0.004,1.846
Musc/Skel,phecode_721-6,Baker's cyst [popliteal cyst],52,53,77,63,83,85,97,89,102,96,0.009,0.009,0.013,0.01,0.014,0.014,0.016,0.015,0.017,0.016,1.846
Neuro,phecode_334-2,Facial nerve disorders and weakness,26,16,27,33,31,23,39,38,43,48,0.004,0.003,0.004,0.005,0.005,0.004,0.006,0.006,0.007,0.008,1.846
Blood,phecode_177-2,Enlargement of lymph nodes [Lymphadenopathy],107,107,161,141,154,138,144,157,175,198,0.018,0.018,0.027,0.023,0.026,0.023,0.024,0.026,0.029,0.033,1.851
Musc/Skel,phecode_724-1,Myalgia,203,241,270,277,302,318,338,354,371,376,0.034,0.041,0.046,0.047,0.051,0.054,0.057,0.06,0.063,0.064,1.853
Neuro,phecode_331,Headache,440,416,445,511,475,596,564,626,641,815,0.085,0.08,0.086,0.099,0.092,0.115,0.109,0.121,0.124,0.157,1.853
Musc/Skel,phecode_733-6,Temporomandibular joint disorders,62,50,51,72,90,112,79,105,108,115,0.01,0.008,0.008,0.012,0.015,0.019,0.013,0.017,0.018,0.019,1.855
Resp,phecode_469,Bronchitis,146,152,164,177,212,209,225,211,290,271,0.026,0.027,0.029,0.031,0.037,0.037,0.04,0.037,0.051,0.048,1.856
Endo,phecode_200-9,Abnormal thyroid function studies,21,24,26,27,20,31,25,25,30,39,0.003,0.004,0.004,0.004,0.003,0.005,0.004,0.004,0.005,0.006,1.857
Musc/Skel,phecode_733-62,Arthralgia of temporomandibular joint,14,8,11,15,17,18,21,28,28,26,0.002,0.001,0.002,0.002,0.003,0.003,0.003,0.005,0.005,0.004,1.857
Signs/Symptoms,phecode_823,Abnormal serum enzyme levels,197,215,248,257,255,279,270,294,309,366,0.034,0.037,0.043,0.044,0.044,0.048,0.047,0.051,0.053,0.063,1.858
GI,phecode_529,Symptoms involving digestive system,805,895,956,1113,1105,1208,1248,1325,1405,1499,0.159,0.177,0.189,0.22,0.218,0.239,0.246,0.262,0.278,0.296,1.862
Genitourinary,phecode_605,Male sexual dysfuction,212,256,300,304,341,319,351,399,370,397,0.084,0.102,0.119,0.121,0.136,0.127,0.14,0.159,0.147,0.158,1.873
GI,phecode_550-4,Cholesterolosis of gallbladder,16,15,16,16,19,11,24,21,27,30,0.003,0.002,0.003,0.003,0.003,0.002,0.004,0.003,0.004,0.005,1.875
Signs/Symptoms,phecode_841-5,Allergy to serum and vaccine,8,3,6,11,9,7,14,16,16,15,0.001,0,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.002,1.875
Blood,phecode_181,Autoimmune disease,114,122,141,133,135,165,168,190,196,214,0.019,0.021,0.024,0.022,0.023,0.028,0.028,0.032,0.033,0.036,1.878
Signs/Symptoms,phecode_815,Symptoms and signs concerning food and fluid intake,41,41,62,57,48,50,65,56,63,77,0.007,0.007,0.01,0.009,0.008,0.008,0.011,0.009,0.01,0.013,1.878
Signs/Symptoms,phecode_824,Other abnormalities of plasma proteins*,50,47,57,44,61,58,49,54,61,94,0.008,0.008,0.009,0.007,0.01,0.01,0.008,0.009,0.01,0.015,1.88
Genitourinary,phecode_605-1,Male erectile dysfunction,210,256,294,312,327,326,344,396,379,395,0.084,0.102,0.117,0.124,0.13,0.13,0.137,0.158,0.151,0.157,1.882
Signs/Symptoms,phecode_823-2,Abnormal levels of other serum enzymes,195,217,243,237,249,291,262,296,298,367,0.034,0.038,0.042,0.041,0.043,0.05,0.045,0.051,0.052,0.063,1.882
GI,phecode_504,Periodontal diseases,34,40,32,35,40,31,49,35,53,64,0.006,0.007,0.005,0.006,0.007,0.005,0.008,0.006,0.009,0.011,1.883
Resp,phecode_465,Pharyngitis,326,354,388,403,413,471,424,491,551,614,0.06,0.065,0.072,0.074,0.076,0.087,0.078,0.091,0.102,0.113,1.884
