endpoint,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,event_rate_1,event_rate_2,event_rate_3,event_rate_4,event_rate_5,event_rate_6,event_rate_7,event_rate_8,event_rate_9,event_rate_10,event_rate_ratio,endpoint_string,n,phecode_category
phecode_398,76,63,85,84,99,116,106,111,118,119,0.01256198347107438,0.010413223140495868,0.014049586776859505,0.013884297520661157,0.016363636363636365,0.019173553719008266,0.017520661157024792,0.018350140519094064,0.019507356587865763,0.019672673169118863,1.566048324646962,Other disorders of ear,977,Hearing
phecode_391,332,367,349,384,407,437,445,448,461,521,0.059349302824454775,0.06560600643546657,0.06238827314980336,0.06864497676081516,0.07275652484805148,0.07811941365749017,0.07954951734000715,0.08010012515644556,0.08242445914536027,0.0931521544788128,1.5695576872122854,Disorders of the middle ear,4151,Hearing
phecode_286-1,7,10,8,12,11,9,10,24,8,11,0.0011466011466011465,0.001638001638001638,0.0013104013104013104,0.0019656019656019656,0.0018018018018018018,0.0014742014742014742,0.001638001638001638,0.003931203931203931,0.0013104013104013104,0.0018018018018018018,1.5714285714285716,Bipolar disorder,110,Mental
phecode_614-5,134,140,148,143,132,123,147,158,165,211,0.04499664204163868,0.04701141705842848,0.04969778374748153,0.048034934497816595,0.044339939536446084,0.04131676184077931,0.04937856902922405,0.053073563990594555,0.05542492442055761,0.07087672153174336,1.5751557964293412,"Inflammatory disease of cervix, vagina, and vulva",1501,Genitourinary
phecode_367-12,33,32,50,47,44,50,54,49,70,52,0.005451842061787543,0.00528663472658186,0.008260366760284157,0.007766027759418374,0.007270323859881031,0.008261731658955718,0.008922670191672175,0.008096497025776602,0.011566424322538004,0.008592200925313946,1.5760179454825856,Allergic [atopic] conjunctivitis,481,Eye
phecode_234,59,100,104,110,133,217,190,149,125,93,0.009662626924336719,0.016377333770062234,0.017032427120864724,0.018015067147068457,0.02178185391418277,0.035538814281035044,0.031116934163118243,0.024406224406224405,0.020475020475020474,0.015233415233415233,1.5765293799192104,Other nutritional deficiencies,1280,Metab
phecode_070,230,247,302,338,327,348,370,335,358,364,0.04095441595441596,0.04398148148148148,0.05378450578806768,0.06019590382902939,0.05823686553873553,0.06197684772929653,0.06589492430988424,0.05966162065894924,0.06375779162956367,0.06482635796972396,1.582890549382477,Candidiasis,3219,ID
phecode_627-1,145,139,141,154,191,183,180,205,212,230,0.04622250557857826,0.044309850175326744,0.04494740197641058,0.04909148868345553,0.06088619700350654,0.058335989799171185,0.05737966209754543,0.0653490596110934,0.06760204081632654,0.07334183673469388,1.5867127023223084,Postmenopausal bleeding,1780,Genitourinary
phecode_559,17,20,25,32,31,28,37,26,30,27,0.00279467368074963,0.003287851389117212,0.004109814236396515,0.005260562222587539,0.005096169653131678,0.004602991944764097,0.006082525069866842,0.004274206805852375,0.004931777083675818,0.004438599375308236,1.5882352941176472,"Other disease of digestive system, NOS",273,GI
phecode_286-2,382,414,439,481,473,505,487,466,527,607,0.07291467837373544,0.07902271425844627,0.0837946172933766,0.09181141439205956,0.09028440542088184,0.09639244130559267,0.09295667112044283,0.08894827257110136,0.10061092019854906,0.11588392516227568,1.5893085966627285,Major depressive disorder,4781,Mental
phecode_832-6,39,53,69,81,70,82,60,64,75,62,0.006396588486140725,0.008692799737575857,0.011317041167787437,0.01328522224044612,0.011481056257175661,0.013449237329834345,0.009840905363293424,0.010498687664041995,0.012303149606299213,0.010170603674540682,1.5900043744531933,Pyuria*,655,Signs/Symptoms
phecode_355-1,22,21,14,16,15,20,17,24,27,35,0.003598298985933922,0.0034347399411187437,0.002289826627412496,0.0026169447170428526,0.0024537870112874205,0.0032717160150498937,0.0027809586127924097,0.003926059218059872,0.004416816620317356,0.005725503026337314,1.5911693410466519,Coma,211,Neuro
phecode_550-2,54,54,45,65,59,64,53,69,67,86,0.008890352321369773,0.008890352321369773,0.007408626934474811,0.010701350016463615,0.009713533091866974,0.010536713862364174,0.008725716167270333,0.011359894632861377,0.011030622324662495,0.014161040671826115,1.5928548340865152,Cholecystitis,616,GI
phecode_286,368,397,462,467,450,459,522,466,552,587,0.07135931743261587,0.07698274190420787,0.089586969168121,0.09057408844065166,0.08727695888285493,0.08902249806051203,0.10124127230411172,0.09038013964313421,0.10705973622963538,0.11384794414274632,1.5954180650656054,Mood [affective] disorders,4730,Mental
phecode_627-3,109,138,144,148,163,177,194,187,171,174,0.03372524752475248,0.0426980198019802,0.04455445544554455,0.04579207920792079,0.050433168316831686,0.054764851485148515,0.06002475247524752,0.05785891089108911,0.05290841584158416,0.05385329619312906,1.5968243421669093,Postmenopausal atrophic vaginitis,1605,Genitourinary
phecode_396-1,10,7,18,17,9,16,22,16,22,16,0.001638001638001638,0.0011466011466011465,0.0029484029484029483,0.0027846027846027844,0.0014742014742014742,0.002620802620802621,0.0036036036036036037,0.002620802620802621,0.0036036036036036037,0.002620802620802621,1.5999999999999999,Conductive hearing loss,153,Hearing
phecode_580-3,15,19,18,11,16,17,17,18,27,24,0.0024541884816753927,0.003108638743455497,0.0029455081001472753,0.0018000327278677793,0.0026182294223531335,0.0027818687612502046,0.0027818687612502046,0.0029455081001472753,0.004418262150220913,0.0039273441335297005,1.6002618229422354,Nephrotic syndrome,182,Genitourinary
phecode_106-3,15,9,11,12,22,18,17,15,26,24,0.004522158577027435,0.0027132951462164605,0.003316249623153452,0.0036177268616219473,0.006632499246306904,0.005426590292432921,0.0051251130539644255,0.004523522316043426,0.007840772014475271,0.007237635705669481,1.6004825090470445,Malignant neoplasm of the ovary,169,Neoplasms
phecode_679,792,904,938,992,1040,1077,1080,1187,1215,1271,0.16016177957532862,0.18281092012133468,0.1896865520728008,0.2006066734074823,0.2103134479271992,0.21779575328614761,0.21840242669362994,0.24004044489383217,0.24575242718446602,0.25707928802589,1.6051225748586184,Skin symptoms,10496,Derm
phecode_379-2,23,20,28,21,27,30,43,24,31,37,0.0037680209698558323,0.00327653997378768,0.0045871559633027525,0.0034403669724770644,0.004423328964613368,0.0049148099606815205,0.0070457152220219565,0.0039324922169424875,0.005079469113550713,0.006062592167786335,1.6089592431377298,"Eye infection, viral",284,Eye
phecode_724,544,603,584,608,689,667,692,744,786,877,0.09557273366127898,0.10593815881939564,0.10260014054813774,0.10681658468025299,0.12104708362614196,0.11718200983836964,0.12159550166930241,0.13073273589878756,0.13811280969952558,0.15410296960112457,1.6124156304588255,Other symptoms and disorders of the soft tissue,6794,Musc/Skel
phecode_581,109,88,94,99,108,134,115,123,134,176,0.01799867899603699,0.01453104359313078,0.015521796565389696,0.016347424042272126,0.017836498761354253,0.02213047068538398,0.018992568125516102,0.02031379025598679,0.02213047068538398,0.02906688687035508,1.6149455677694526,Renal tubulo-interstitial diseases,1180,Genitourinary
phecode_395-1,109,132,142,156,142,161,172,157,164,176,0.018254898676938535,0.022106849773907217,0.023781611120415342,0.02613065326633166,0.023785594639865997,0.02696817420435511,0.0288107202680067,0.02629815745393635,0.02747068676716918,0.02948073701842546,1.614949364559802,Labyrinthitis,1511,Hearing
phecode_581-1,21,28,36,31,27,19,27,44,28,34,0.0034409306898246766,0.004587907586432902,0.005898738325413731,0.005079469113550713,0.0044240537440602985,0.0031137332022287776,0.004424778761061947,0.007210750573582432,0.004588659455916093,0.005571943625040971,1.6193129496964305,Pyelonephritis,295,Genitourinary
phecode_524,92,85,105,119,124,138,156,162,183,149,0.015156507413509062,0.01400329489291598,0.01729818780889621,0.0196078431372549,0.020431702092601745,0.022738507167572912,0.02570439940682155,0.026693030153237766,0.030153237765694514,0.02455099686933597,1.6198320760529274,Functional intestinal disorder,1313,GI
phecode_826,29,23,21,22,26,19,17,34,29,47,0.0048796903920578834,0.0038700992764597003,0.0035335689045936395,0.00370183409052667,0.0043756311006395154,0.0031975765735442613,0.00286098956580276,0.00572197913160552,0.004880511612251767,0.007909794681925278,1.6209624067131698,Other abnormal immunological findings in serum,267,Signs/Symptoms
phecode_619-4,246,203,238,233,254,264,299,332,373,399,0.08282828282828283,0.06835016835016836,0.08013468013468013,0.07845117845117845,0.08552188552188553,0.08888888888888889,0.10067340067340068,0.11178451178451178,0.12558922558922558,0.1343886830582688,1.6224975149717815,Noninflammatory disorders of vagina,2841,Genitourinary
phecode_336,232,287,257,325,310,320,355,331,340,378,0.039889958734525444,0.04934662998624484,0.044188445667125174,0.05588033012379642,0.05331040412725709,0.055030094582975066,0.061049011177987965,0.05692175408426483,0.058469475494411005,0.06500429922613929,1.6295905357725264,Mononeuropathies,3135,Neuro
phecode_724-52,38,43,44,54,59,69,67,62,67,62,0.006233595800524934,0.007053805774278215,0.007217847769028871,0.008858267716535433,0.009678477690288715,0.011318897637795276,0.010990813648293964,0.010170603674540682,0.010990813648293964,0.010172272354388842,1.631846638746168,Osteophyte*,565,Musc/Skel
phecode_336-5,71,86,89,83,90,93,101,97,113,116,0.011691091717437839,0.014161040671826115,0.01465503046270377,0.01366705088094846,0.014819693726329656,0.015316205533596838,0.016633728590250328,0.015974967061923584,0.018610013175230568,0.019104084321475624,1.63407188851157,Mononeuritis of lower limb,939,Neuro
phecode_668-4,11,11,10,12,15,13,7,20,25,18,0.0017973856209150326,0.0017973856209150326,0.0016339869281045752,0.00196078431372549,0.0024509803921568627,0.0021245301519856184,0.0011439777741461023,0.0032685079261317207,0.004085634907664651,0.002941657133518549,1.636631059739411,Dermatitis due to substances taken internally,142,Derm
phecode_056-1,66,69,71,86,79,80,96,94,91,108,0.01101284832304355,0.01151535380507343,0.01184913217623498,0.014352469959946596,0.013184245660881175,0.01335113484646195,0.01602136181575434,0.01568758344459279,0.015186915887850467,0.018024032042723633,1.6366367277582232,Plantar wart,840,ID
phecode_605,223,293,279,311,336,351,355,369,367,365,0.08873855949064863,0.11659371269399124,0.11102268205332272,0.12375646637485077,0.13370473537604458,0.13972929936305734,0.14132165605095542,0.14689490445859874,0.1460987261146497,0.14530254777070065,1.6374228813801377,Male sexual dysfuction,3249,Genitourinary
phecode_724-5,47,66,53,66,76,77,87,87,78,77,0.007734079315451703,0.010860622017442817,0.008721408589764687,0.010860622017442817,0.012506170807964456,0.012672811059907835,0.014318630678077683,0.014318630678077683,0.012837393021724819,0.012672811059907835,1.6385675066182959,Exostosis,714,Musc/Skel
phecode_840-1,36,28,41,38,44,40,43,41,49,59,0.005913272010512484,0.0045992115637319315,0.006734559789750329,0.006241787122207621,0.007227332457293035,0.006570302233902759,0.007063074901445467,0.006735666173813044,0.008049942500410712,0.009692787908657796,1.6391581329974627,Food allergy,419,Signs/Symptoms
phecode_619-2,36,27,34,26,40,36,53,48,52,59,0.010962241169305725,0.008221680876979293,0.010356381358513555,0.007919585744745659,0.012183978068839476,0.01096558026195553,0.016143770941212304,0.014620773682607372,0.015839171489491318,0.017971367651538228,1.639388093545876,"Disorders of uterus, NEC",411,Genitourinary
phecode_807,527,559,554,608,657,625,706,734,745,866,0.0966440491472584,0.10251237850724372,0.10161408657373441,0.11151870873074102,0.12050623624358034,0.11463683052090975,0.12949376375641966,0.1346294937637564,0.13664710198092442,0.15884079236977255,1.6435651627938703,Malaise and fatigue,6581,Signs/Symptoms
phecode_462-1,178,209,172,189,196,221,244,240,269,294,0.031097134870719776,0.03651292802236199,0.03004891684136967,0.0330188679245283,0.03424178895877009,0.03860936408106219,0.04263498165297921,0.04193604752752053,0.04700331993709593,0.05137165822121265,1.6519739980798946,Acute sinusitis,2212,Resp
phecode_052-3,224,270,303,305,351,362,380,386,390,371,0.03863401172818213,0.04656778199379096,0.05225939979303208,0.05260434632631942,0.06053811659192825,0.06243532252500862,0.06553984132459469,0.0665746809244567,0.06726457399103139,0.06398758192480165,1.65625,Varicella zoster virus,3342,ID
phecode_660-6,479,513,542,537,526,593,640,658,729,795,0.08591928251121077,0.09201793721973094,0.09721973094170404,0.09632286995515695,0.09434977578475336,0.1063677130044843,0.11479820627802691,0.1180269058295964,0.13076233183856503,0.14260089686098654,1.659707724425887,Cellulitis and abscess,6012,Derm
phecode_052,273,327,340,369,418,423,425,402,441,454,0.04865442880057031,0.05827838175013367,0.06059525931206559,0.06576367848868295,0.0744965246836571,0.07540106951871657,0.07575757575757576,0.07165775401069518,0.0786096256684492,0.08092691622103387,1.6633000985942163,Herpesvirus,3872,ID
phecode_168-2,9,12,13,14,13,15,10,13,9,15,0.0014710689767898006,0.001961425302386401,0.0021248774109186006,0.002288329519450801,0.0021248774109186006,0.0024517816279830008,0.0016345210853220007,0.0021248774109186006,0.0014710689767898006,0.0024517816279830008,1.6666666666666665,Hyper-coagulability,123,Blood
phecode_593-3,9,8,17,17,9,11,11,12,16,15,0.0014708285667592745,0.0013074031704526884,0.002778231737211963,0.002778231737211963,0.0014708285667592745,0.0017976793593724465,0.0017976793593724465,0.001961425302386401,0.002615233736515201,0.0024517816279830008,1.6669390868475533,Recurrent and persistent hematuria*,125,Genitourinary
phecode_466-4,12,8,13,10,7,7,9,17,18,20,0.0019611047556790323,0.0013074031704526884,0.0021245301519856184,0.0016342539630658604,0.0011439777741461023,0.0011439777741461023,0.0014708285667592745,0.002778231737211963,0.002942137953579601,0.0032690421706440013,1.6669390868475538,Hypertrophy of tonsils and adenoids,121,Resp
phecode_840-9,9,11,11,8,11,13,14,12,12,15,0.0014715500327011119,0.0017985611510791368,0.0017985611510791368,0.0013080444735120995,0.0017985611510791368,0.0021255722694571615,0.002289077828646174,0.001962066710268149,0.0019623875715453804,0.0024529844644317253,1.666939220496048,Anaphylactic reaction,116,Signs/Symptoms
phecode_728-1,15,6,11,16,10,9,16,19,19,25,0.0024675111037999672,9.871668311944718e-4,0.0018098058571898651,0.0026324448831852583,0.0016452780519907865,0.0014807502467917078,0.0026324448831852583,0.0031260282987824943,0.0031260282987824943,0.004113195129976966,1.6669408796753316,Chondromalacia,146,Musc/Skel
phecode_721-1,274,324,366,365,346,379,406,373,403,458,0.0471763085399449,0.05578512396694215,0.06301652892561983,0.0628443526170799,0.0595832615808507,0.06526605820561392,0.06991561908042018,0.06423282245565697,0.06939900120544171,0.0788703289133804,1.6718206946310707,Synovitis and tenosynovitis,3694,Musc/Skel
phecode_618-1,110,125,146,166,145,171,181,168,175,184,0.03446115288220551,0.039160401002506263,0.045739348370927316,0.05200501253132832,0.045426065162907266,0.05357142857142857,0.05672203071137574,0.05264807270448135,0.05484174240050141,0.05766217486681291,1.673251474316971,Prolapse of vaginal walls,1571,Genitourinary
phecode_605-1,217,296,282,311,331,347,355,368,369,363,0.08631662688941925,0.1177406523468576,0.11221647433346597,0.12375646637485077,0.1317150815758058,0.13808197373656983,0.14126541981695184,0.14643851969757263,0.14683645045762037,0.14444886589733386,1.6734767228843195,Male erectile dysfunction,3239,Genitourinary
phecode_464-1,77,84,97,99,110,102,107,142,107,129,0.012947704725071464,0.014124768790987053,0.016310744913401714,0.016647048932234742,0.01849672103581638,0.017151504960484277,0.017995290951900438,0.023881601076353853,0.017995290951900438,0.021695257315842584,1.675606431913193,Acute nasopharyngitis,1054,Resp
phecode_331-1,63,52,79,60,72,81,73,73,61,106,0.010444297082228117,0.008620689655172414,0.01309681697612732,0.009946949602122016,0.011936339522546418,0.013428381962864722,0.01210212201591512,0.012104128668545846,0.010114408887415022,0.01757585806665561,1.6828186644137564,Tension headache,720,Neuro
phecode_394-22,19,12,33,34,30,29,27,27,31,32,0.003111183887342394,0.001965280052407468,0.005404520144120537,0.0055682934818211596,0.00491320013101867,0.004749426793318048,0.0044218801179168035,0.0044218801179168035,0.005076973468719293,0.0052407468064199145,1.6844863550950746,Vestibular neuronitis,274,Hearing
phecode_334-21,19,22,26,19,36,27,39,25,22,32,0.003119356427516007,0.0036118863897553768,0.004268593006074536,0.003119356427516007,0.005910359546872435,0.004432769660154326,0.0064039408866995075,0.004105090311986864,0.00361247947454844,0.005254515599343186,1.6844870797683866,Bell's palsy,267,Neuro
phecode_520-14,54,42,58,40,49,80,71,81,78,91,0.008884501480750246,0.006910167818361303,0.009542612701546561,0.006581112207963146,0.008061862454754853,0.013162224415926292,0.011681474169134584,0.01332675222112537,0.012835280566068783,0.014974493993746915,1.685462490629514,Ventral hernia,644,GI
phecode_200-3,35,36,61,41,45,57,60,49,56,59,0.005781301618764453,0.005946481665014866,0.01007598282127519,0.0067723818962669305,0.007433102081268583,0.009415262636273538,0.009912440112340989,0.008095159425078473,0.009251610771518256,0.009747232777135306,1.6859927780793469,Thyrotoxicosis [hyperthyroidism],499,Endo
phecode_664-2,16,19,20,11,15,21,16,25,19,27,0.002629416598192276,0.0031224322103533277,0.003286770747740345,0.0018080210387902695,0.002465483234714004,0.0034516765285996054,0.0026298487836949377,0.00410913872452334,0.0031229454306377384,0.004437869822485207,1.6877773668639053,Pityriasis,189,Derm
phecode_522,492,576,588,647,694,699,769,845,823,832,0.08969917958067457,0.10501367365542388,0.10722100656455143,0.11797957695113057,0.12654996353026987,0.1274617067833698,0.1402261123267688,0.15408460977388766,0.150072939460248,0.15171407731582787,1.6913652725148696,Gastrointestinal inflammation,6965,GI
phecode_348,49,36,44,37,50,54,47,84,56,83,0.008044656049909702,0.005910359546872435,0.0072237727795107535,0.006075533661740558,0.008210180623973728,0.008866995073891626,0.0077175697865353035,0.013793103448275862,0.009195402298850575,0.013628899835796387,1.6941556918333838,Other diseases of spinal cord,540,Neuro
phecode_146-2,46,65,94,102,117,77,74,76,68,78,0.016642547033285094,0.023516642547033284,0.03400868306801737,0.03690303907380608,0.04232995658465991,0.027858176555716353,0.026772793053545588,0.027496382054992764,0.024602026049204053,0.028219971056439943,1.6956521739130435,Benign neoplasm of the prostate,797,Neoplasms
phecode_200-22,23,25,22,34,33,30,29,38,42,39,0.0037698737911817733,0.004097688903458449,0.0036059662350434356,0.005572856908703491,0.005408949352565153,0.0049172266841501396,0.0047533191280118015,0.0062284871332568435,0.006885245901639345,0.0063934426229508194,1.6959301496792587,Uninodular goiter [single thyroid nodule],315,Endo
phecode_830,426,454,480,527,570,665,653,712,726,724,0.0734229576008273,0.07824887969665632,0.0827300930713547,0.09083074801792486,0.09824198552223372,0.11461564977593933,0.11254739744915547,0.12271630472250948,0.1251508360627478,0.12480606791932425,1.6998234884223458,Proteinuria,5937,Signs/Symptoms
phecode_200-21,10,13,13,14,21,21,13,14,21,17,0.0016404199475065617,0.00213254593175853,0.002132895816242822,0.0022969647251845776,0.0034454470877768664,0.0034454470877768664,0.002132895816242822,0.0022969647251845776,0.0034454470877768664,0.002789171452009844,1.700278917145201,Diffuse goiter,157,Endo
phecode_668-2,104,100,121,119,149,159,137,175,157,177,0.01752021563342318,0.016846361185983826,0.020384097035040433,0.020047169811320754,0.025101078167115903,0.026785714285714284,0.023079514824797843,0.0294811320754717,0.02644878706199461,0.02982308340353833,1.7022098373404186,Seborrheic dermatitis,1398,Derm
phecode_557,358,398,402,448,478,457,522,489,495,610,0.06298381421534131,0.07002111189303308,0.07072484166080226,0.07881773399014778,0.08409570724841661,0.08040112596762843,0.09183673469387756,0.08603096410978184,0.08710188280837586,0.10733767376385711,1.7042104404295078,Gastrointestinal hemorrhage,4657,GI
phecode_463-21,160,170,167,155,147,163,158,188,188,273,0.02757194554540755,0.02930024129610479,0.028783178214408824,0.026714925887624957,0.025336091003102378,0.028093760772147536,0.027231988969320924,0.03240261978628059,0.03240261978628059,0.04705274043433299,1.7065440796277145,Seasonal allergic rhinitis,1769,Resp
phecode_832,566,728,789,752,808,803,798,859,914,969,0.09666951323654996,0.12435941236761189,0.13477963785445848,0.1284591732148958,0.13802528185855825,0.1371711650153741,0.13631704817218995,0.14673727365903655,0.1561325589340622,0.1655278442090878,1.7123065862971893,Other abnormal findings in urine,7986,Signs/Symptoms
phecode_351-3,181,187,210,196,205,222,247,250,252,310,0.03059499661933739,0.031609195402298854,0.035496957403651115,0.03313049357674104,0.034651791751183235,0.037525354969574036,0.041758241758241756,0.042265426880811495,0.04260355029585799,0.052409129332206254,1.7129967355211724,Paresthesia of skin*,2260,Neuro
phecode_417,470,500,521,612,693,770,833,872,836,805,0.08189580066213627,0.08712319219376198,0.09078236626589999,0.10663878724516467,0.1207527443805541,0.13416971597839344,0.14514723819480746,0.1519693272917393,0.1456953642384106,0.14029278494248867,1.71306445273392,Abnormalities of heart beat,6912,Cardio
phecode_413-4,7,3,4,9,14,11,19,19,21,12,0.001143603986276752,4.90115994118608e-4,6.534879921581441e-4,0.0014703479823558242,0.002287207972553504,0.0017970919784348963,0.0031040679627511846,0.0031045751633986926,0.003431372549019608,0.00196078431372549,1.7145658263305323,Pulmonary valve disorders,119,Cardio
phecode_727-1,7,9,15,6,8,11,11,13,13,12,0.0011439777741461023,0.0014708285667592745,0.0024513809445987906,9.805523778395162e-4,0.0013076168682576005,0.0017979731938542007,0.0017979731938542007,0.0021248774109186006,0.0021248774109186006,0.001961425302386401,1.714565917900341,Osteonecrosis,105,Musc/Skel
phecode_288,343,426,410,456,515,480,532,541,551,591,0.06306306306306306,0.07832322118036404,0.07538150395293253,0.0838543582199338,0.09470393527031996,0.08826774549466716,0.09783008458992276,0.09948510481794777,0.10132401618242001,0.10867966164030894,1.7233489202963277,Anxiety disorders,4845,Mental
phecode_618,125,155,175,183,169,199,210,213,206,216,0.0397456279809221,0.0492845786963434,0.05564387917329094,0.058187599364069954,0.05373608903020668,0.06327503974562798,0.06679389312977099,0.06774809160305344,0.06552162849872774,0.06870229007633588,1.7285496183206108,Genital prolapse,1851,Genitourinary
phecode_841-3,37,44,55,71,73,93,72,71,62,64,0.0060437765436131986,0.007187193727540019,0.008983992159425025,0.01159751715125776,0.011924207775236851,0.01519111401502777,0.011760862463247305,0.01159751715125776,0.010127409343351846,0.010454099967330937,1.7297297297297296,Allergy to narcotic agent,642,Signs/Symptoms
phecode_008,43,28,25,33,39,27,26,29,39,75,0.007077024358130349,0.004608294930875576,0.004114549045424622,0.0054312047399605,0.0064186965108624094,0.004443712969058591,0.004279131007241606,0.004773662551440329,0.006419753086419753,0.012345679012345678,1.7444731553258686,Helicobacter [H. pylori],364,ID
phecode_807-1,222,212,239,241,296,290,257,302,330,388,0.038000684697021565,0.03628894214310168,0.04091064703868538,0.04125299554946936,0.05066757959602876,0.04964053406367682,0.04399178363574118,0.051703475432288995,0.05649717514124294,0.06642698168121897,1.7480469683859514,Chronic fatigue syndrome,2777,Signs/Symptoms
phecode_308-7,16,16,8,14,21,23,25,31,27,28,0.002616516762060507,0.002616516762060507,0.0013082583810302534,0.0022894521668029434,0.0034341782502044153,0.0037618580307491006,0.004088976120379457,0.005070330389270527,0.004416094210009814,0.004579653254824992,1.7502862283284268,Restlessness and agitation*,209,Mental
phecode_504-32,12,20,20,8,16,12,3,9,18,21,0.001962708537782139,0.0032711808963035655,0.0032711808963035655,0.0013084723585214263,0.0026169447170428526,0.001962708537782139,4.906771344455348e-4,0.0014722722067724522,0.0029445444135449044,0.0034353018158023883,1.750286275151317,Chronic periodontitis,139,GI
phecode_360-12,16,24,22,18,27,22,19,34,29,28,0.002620802620802621,0.003931847968545216,0.0036041939711664484,0.002948885976408912,0.004423328964613368,0.0036041939711664484,0.003112712975098296,0.005570117955439056,0.004750982961992136,0.0045871559633027525,1.7502866972477065,Hordeolum internum,239,Eye
phecode_170-19,28,19,25,24,22,19,30,38,28,49,0.004586404586404586,0.0031122031122031123,0.004095004095004095,0.003931203931203931,0.0036036036036036037,0.0031122031122031123,0.0049148099606815205,0.006225425950196592,0.0045871559633027525,0.008027522935779817,1.7502866972477067,Neutropenia NOS,282,Blood
phecode_257,12,23,19,21,13,28,15,15,23,21,0.0019665683382497543,0.0037692559816453622,0.0031137332022287776,0.00344149459193707,0.0021304490331039002,0.004588659455916093,0.0024582104228121925,0.0024582104228121925,0.0037698737911817733,0.0034420586789050975,1.750286838223242,Polydipsia,190,Metab
phecode_618-11,72,84,113,118,131,143,133,117,107,126,0.022229083050324176,0.025933930225378203,0.03488731089842544,0.03643099722136462,0.040444581661006486,0.04414942883606051,0.041062056190182154,0.03612225995677678,0.033034887310898424,0.03891290920321186,1.7505404570722667,Cystocele,1144,Genitourinary
phecode_464,73,85,97,98,118,95,111,143,107,128,0.012275096687405415,0.014292920800403565,0.016310744913401714,0.016478896922818228,0.01984527413387151,0.015977127480659267,0.01866801210898083,0.02404978136562395,0.017995290951900438,0.021527077026572486,1.753719549000364,Nasopharyngitis,1055,Resp
phecode_721-6,53,62,83,83,87,67,108,84,77,93,0.008701362666228863,0.010178952552946971,0.013626662288622558,0.013626662288622558,0.014283368904941716,0.01099983582334592,0.017731078640617303,0.013793103448275862,0.01264367816091954,0.015270935960591134,1.7550051119992565,Baker's cyst [popliteal cyst],797,Musc/Skel
phecode_331,424,448,485,502,542,529,578,621,653,747,0.08180590391665059,0.08643642677985723,0.09359320725588575,0.09687379390196835,0.10459282130451564,0.10208413739868777,0.11153994596680818,0.1198379004245465,0.12601312234658432,0.14415283674257043,1.7621324359357136,Headache,5529,Neuro
phecode_532,72,72,83,92,93,107,116,111,114,127,0.011879227850189737,0.011879227850189737,0.013694109882857615,0.015181518151815182,0.015346534653465346,0.017656765676567657,0.01914191419141914,0.018316831683168316,0.01881188118811881,0.020957095709570956,1.7641799596626329,Other disorders of the intestines,987,GI
phecode_840-8,248,253,276,275,302,295,275,278,324,438,0.04518950437317784,0.04610058309037901,0.05029154518950437,0.05010932944606414,0.05503918352469473,0.053763440860215055,0.050118461818844544,0.050665208675050116,0.0590486604702023,0.07982504100601422,1.7664509074234114,Allergies related to other diseases/symptoms,2964,Signs/Symptoms
phecode_486,433,506,554,583,603,628,710,741,783,766,0.07874158937988725,0.09201673031460265,0.10074559010729224,0.10601927623204219,0.10965630114566285,0.11420258228768868,0.12911438443353337,0.1347517730496454,0.14238952536824878,0.1393233903237541,1.769374880809062,Other respiratory disorders,6307,Resp
phecode_507-1,61,70,84,88,99,86,102,83,80,108,0.01011608623548922,0.011608623548922056,0.013930348258706468,0.014593698175787729,0.016417910447761194,0.014262023217247097,0.01691542288557214,0.013764510779436153,0.013266998341625208,0.01791044776119403,1.7704918032786887,Stomatitis,861,GI
phecode_599,467,437,545,598,656,689,719,720,764,827,0.08030954428202923,0.07515047291487532,0.0937231298366294,0.10283748925193466,0.11281169389509889,0.11850705194358445,0.1236670106639147,0.1238390092879257,0.13140694874441006,0.14224286205710354,1.7711825328951973,Other symptoms/disorders or the urinary system,6422,Genitourinary
phecode_448-1,44,54,51,64,81,64,70,80,56,78,0.007252348772045492,0.008902077151335312,0.008407517309594461,0.010550609957138147,0.013353115727002967,0.010550609957138147,0.01153972964061985,0.013188262446422684,0.009231783712495879,0.012858555885262116,1.7730195126337558,Raynaud's syndrome,642,Cardio
phecode_718-3,44,68,85,60,66,66,57,65,83,78,0.007261924409968642,0.011222974088133355,0.014028717610166695,0.009902624195411784,0.010892886614952963,0.010892886614952963,0.009409045889732586,0.01072961373390558,0.013700891383294818,0.012875536480686695,1.7730198985563792,Mid back pain,672,Musc/Skel
phecode_324-3,62,72,77,93,97,96,95,103,108,110,0.010338502584625646,0.01200600300150075,0.012839753209938302,0.015507753876938469,0.01617475404368851,0.016008004002001,0.015843895930620414,0.017178118745830553,0.01801200800533689,0.018345563709139426,1.774489444575954,Dystonia,913,Neuro
phecode_660-12,315,334,342,388,426,466,463,530,543,559,0.05705488136207209,0.060496286904546274,0.06194529976453541,0.07027712370947292,0.0771599347944213,0.08440499909436697,0.0838768115942029,0.09601449275362318,0.0983695652173913,0.10126811594202899,1.7749246606855302,Dermatophytosis,4366,Derm
phecode_705-1,49,58,64,79,77,109,101,112,84,87,0.008080474934036939,0.009564643799472295,0.010554089709762533,0.013027704485488126,0.012699983506514927,0.01797789873000165,0.016658419924129968,0.018472703282203528,0.013854527461652647,0.014349332013854528,1.7758030475921196,Rheumatoid arthritis,820,Musc/Skel
