phecode_category,endpoint,phecode_string,ukb_agesex,ukb_agesexretina,ukb_delta
Neuro,phecode_351-3,Paresthesia of skin*,"0.488 (0.477, 0.497)","0.52 (0.51, 0.53)","0.031 (0.023, 0.042)"
Derm,phecode_664,Papulosquamous disorders,"0.532 (0.512, 0.55)","0.564 (0.544, 0.577)","0.031 (0.018, 0.049)"
Derm,phecode_680-1,Corns and callosities,"0.557 (0.542, 0.57)","0.587 (0.575, 0.602)","0.031 (0.018, 0.044)"
GI,phecode_502,Other diseases of teeth and supporting structures,"0.505 (0.491, 0.521)","0.535 (0.52, 0.549)","0.031 (0.012, 0.05)"
Musc/Skel,phecode_730,Other disorders and symptoms of the musculoskeletal system,"0.519 (0.498, 0.538)","0.55 (0.532, 0.567)","0.031 (0.008, 0.052)"
Neuro,phecode_347,Other disorders of the brain and CNS,"0.574 (0.547, 0.593)","0.603 (0.569, 0.631)","0.031 (0.006, 0.052)"
Musc/Skel,phecode_702-3,Enteropathic arthropathies,"0.508 (0.466, 0.556)","0.54 (0.502, 0.574)","0.031 (-0.006, 0.071)"
Derm,phecode_686,Chronic ulcer of skin,"0.695 (0.685, 0.708)","0.726 (0.716, 0.737)","0.03 (0.024, 0.041)"
Neuro,phecode_333,Sleep disorders,"0.521 (0.514, 0.528)","0.551 (0.545, 0.557)","0.03 (0.023, 0.037)"
Derm,phecode_676,Hypertrophic conditions of skin,"0.482 (0.474, 0.491)","0.514 (0.504, 0.523)","0.03 (0.021, 0.043)"
Resp,phecode_471-5,Nasal polyps,"0.546 (0.528, 0.565)","0.577 (0.558, 0.596)","0.03 (0.017, 0.049)"
Eye,phecode_367-12,Allergic [atopic] conjunctivitis,"0.567 (0.545, 0.586)","0.598 (0.578, 0.617)","0.03 (0.015, 0.048)"
Metab,phecode_244,Disorders of lipoprotein metabolism and other lipidemias,"0.594 (0.577, 0.617)","0.625 (0.602, 0.643)","0.03 (0.01, 0.045)"
Eye,phecode_360-51,Eczematous dermatitis of eyelid,"0.619 (0.591, 0.645)","0.647 (0.618, 0.673)","0.03 (0.007, 0.053)"
Neuro,phecode_336-2,"Lesion of median, ulnar, radial nerve","0.52 (0.501, 0.541)","0.55 (0.528, 0.572)","0.03 (0.007, 0.047)"
Metab,phecode_239-2,Hyperglyceridemia,"0.541 (0.511, 0.564)","0.567 (0.546, 0.598)","0.03 (0.003, 0.061)"
GI,phecode_525-3,Disorders of intestinal carbohydrate absorption,"0.55 (0.5, 0.589)","0.581 (0.546, 0.622)","0.03 (-0.004, 0.075)"
Mental,phecode_283,Other behavioral problems,"0.506 (0.502, 0.511)","0.536 (0.532, 0.542)","0.029 (0.024, 0.035)"
Musc/Skel,phecode_722,Fasciopathy,"0.505 (0.499, 0.512)","0.534 (0.529, 0.541)","0.029 (0.023, 0.036)"
Mental,phecode_280,Substance related disorders,"0.573 (0.563, 0.582)","0.602 (0.593, 0.611)","0.029 (0.021, 0.037)"
Cardio,phecode_448-9,Peripheral vascular disease NOS [includes PAD],"0.73 (0.717, 0.744)","0.759 (0.745, 0.773)","0.029 (0.019, 0.04)"
Metab,phecode_232-29,Folate deficiency [Vitamin B9],"0.72 (0.69, 0.745)","0.748 (0.712, 0.773)","0.029 (0.011, 0.046)"
Musc/Skel,phecode_723-6,Impingement syndrome of shoulder*,"0.5 (0.489, 0.51)","0.528 (0.517, 0.537)","0.029 (0.011, 0.04)"
Rx,phecode_977-41,Long term (current) use of inhaled steroids*,"0.547 (0.523, 0.566)","0.576 (0.554, 0.596)","0.029 (0.01, 0.055)"
Metab,phecode_256-31,Acidosis,"0.647 (0.624, 0.673)","0.678 (0.658, 0.697)","0.029 (0.008, 0.05)"
Metab,phecode_232-27,Vitamin B12 deficiency,"0.576 (0.552, 0.603)","0.604 (0.58, 0.629)","0.029 (0.004, 0.053)"
Derm,phecode_666,Urticaria,"0.55 (0.54, 0.56)","0.578 (0.569, 0.589)","0.028 (0.019, 0.037)"
Neoplasms,phecode_102,Malignant neoplasm of the thoracic and respiratory organs,"0.677 (0.657, 0.689)","0.704 (0.689, 0.714)","0.028 (0.013, 0.04)"
Rx,phecode_977-4,Long term (current) use of steroids,"0.545 (0.528, 0.563)","0.575 (0.552, 0.594)","0.028 (0.011, 0.052)"
Eye,phecode_369-4,Corneal degenerations,"0.676 (0.651, 0.708)","0.705 (0.682, 0.738)","0.028 (0.009, 0.046)"
Genitourinary,phecode_581-1,Pyelonephritis,"0.542 (0.518, 0.562)","0.568 (0.539, 0.592)","0.028 (0.005, 0.044)"
Neuro,phecode_352,Disturbances of sensation of smell and taste,"0.502 (0.484, 0.522)","0.531 (0.508, 0.548)","0.028 (0.004, 0.047)"
Neuro,phecode_344,Disorders of the circulation of the cerebrospinal fluid,"0.566 (0.533, 0.602)","0.595 (0.564, 0.629)","0.028 (0, 0.07)"
Musc/Skel,phecode_727-1,Osteonecrosis,"0.525 (0.476, 0.568)","0.549 (0.518, 0.595)","0.028 (-0.03, 0.077)"
Musc/Skel,phecode_719-11,Spasm of muscle,"0.472 (0.442, 0.512)","0.501 (0.461, 0.532)","0.028 (-0.024, 0.066)"
Endo,phecode_204-4,Prediabetes*,"0.544 (0.509, 0.589)","0.57 (0.535, 0.611)","0.028 (-0.014, 0.063)"
Mental,phecode_281-1,Substance abuse,"0.622 (0.608, 0.633)","0.648 (0.636, 0.658)","0.027 (0.019, 0.036)"
Neuro,phecode_337,Polyneuropathies,"0.597 (0.583, 0.609)","0.624 (0.608, 0.64)","0.027 (0.018, 0.037)"
Resp,phecode_475,Asthma,"0.52 (0.512, 0.53)","0.548 (0.537, 0.556)","0.027 (0.018, 0.035)"
Blood,phecode_177-2,Enlargement of lymph nodes [Lymphadenopathy],"0.531 (0.52, 0.541)","0.558 (0.547, 0.569)","0.027 (0.014, 0.038)"
Blood,phecode_160-2,Megaloblastic anemia,"0.624 (0.605, 0.652)","0.651 (0.631, 0.671)","0.027 (0.013, 0.042)"
Resp,phecode_479-3,Respiratory failure,"0.672 (0.653, 0.695)","0.701 (0.679, 0.722)","0.027 (0.012, 0.042)"
Resp,phecode_468-2,Bacterial pneumonia,"0.619 (0.599, 0.644)","0.647 (0.624, 0.671)","0.027 (0.011, 0.047)"
Neuro,phecode_341,Cerebral palsy and other paralytic syndromes,"0.65 (0.626, 0.674)","0.675 (0.655, 0.695)","0.027 (0.011, 0.042)"
Eye,phecode_377-4,Retinal hemorrhage,"0.641 (0.611, 0.675)","0.668 (0.633, 0.702)","0.027 (0.01, 0.046)"
Cardio,phecode_411-2,Pericardial effusion (noninflammatory)*,"0.635 (0.608, 0.663)","0.662 (0.635, 0.693)","0.027 (0.004, 0.049)"
Metab,phecode_257,Polydipsia,"0.512 (0.483, 0.545)","0.537 (0.509, 0.57)","0.027 (0, 0.049)"
Mental,phecode_284-2,Suicide and self-inflicted harm,"0.566 (0.533, 0.597)","0.594 (0.563, 0.63)","0.027 (-0.005, 0.066)"
Resp,phecode_486,Other respiratory disorders,"0.544 (0.54, 0.55)","0.571 (0.565, 0.576)","0.026 (0.021, 0.03)"
Signs/Symptoms,phecode_800,Chest pain,"0.513 (0.508, 0.519)","0.539 (0.533, 0.543)","0.026 (0.02, 0.031)"
Hearing,phecode_390-1,Otitis externa,"0.502 (0.496, 0.508)","0.529 (0.523, 0.536)","0.026 (0.019, 0.034)"
Mental,phecode_280-1,Alcohol use disorders,"0.578 (0.568, 0.585)","0.604 (0.595, 0.614)","0.026 (0.018, 0.034)"
Neuro,phecode_333-11,Obstructive sleep apnea,"0.612 (0.593, 0.629)","0.638 (0.622, 0.654)","0.026 (0.015, 0.041)"
GI,phecode_535,Intestinal or peritoneal adhesions,"0.554 (0.539, 0.569)","0.579 (0.566, 0.601)","0.026 (0.012, 0.041)"
Resp,phecode_487-3,Hemoptysis,"0.585 (0.566, 0.602)","0.611 (0.594, 0.627)","0.026 (0.012, 0.041)"
Derm,phecode_686-1,Pressure ulcer,"0.721 (0.705, 0.737)","0.746 (0.733, 0.761)","0.026 (0.011, 0.038)"
Derm,phecode_660-21,Impetigo,"0.513 (0.493, 0.534)","0.537 (0.522, 0.563)","0.026 (0.01, 0.04)"
Signs/Symptoms,phecode_840-9,Anaphylactic reaction,"0.496 (0.455, 0.552)","0.524 (0.476, 0.566)","0.026 (-0.021, 0.073)"
Derm,phecode_668-6,Prurigo,"0.528 (0.497, 0.565)","0.556 (0.523, 0.589)","0.026 (-0.009, 0.061)"
Metab,phecode_248,"Disorders of plasma-protein metabolism, NEC","0.601 (0.56, 0.653)","0.629 (0.573, 0.676)","0.026 (-0.003, 0.056)"
Mental,phecode_284-29,Intentional self-harm*,"0.566 (0.531, 0.599)","0.595 (0.563, 0.632)","0.026 (-0.003, 0.052)"
Derm,phecode_683-2,Nail dystrophy*,"0.593 (0.56, 0.623)","0.618 (0.585, 0.651)","0.026 (-0.002, 0.051)"
Signs/Symptoms,phecode_804,Other symptoms and signs involving the circulatory and respiratory system,"0.533 (0.527, 0.54)","0.558 (0.553, 0.564)","0.025 (0.02, 0.031)"
Resp,phecode_469,Bronchitis,"0.543 (0.534, 0.553)","0.568 (0.561, 0.578)","0.025 (0.016, 0.034)"
Derm,phecode_660-2,Bacterial infection of the skin,"0.503 (0.486, 0.52)","0.53 (0.506, 0.545)","0.025 (0.012, 0.04)"
Signs/Symptoms,phecode_800-2,Precordial pain,"0.536 (0.521, 0.551)","0.561 (0.545, 0.576)","0.025 (0.012, 0.037)"
Signs/Symptoms,phecode_832-5,Acetonuria,"0.547 (0.529, 0.563)","0.572 (0.556, 0.586)","0.025 (0.011, 0.038)"
Metab,phecode_256-6,Fluid overload,"0.721 (0.697, 0.74)","0.744 (0.725, 0.766)","0.025 (0.008, 0.041)"
GI,phecode_507-11,Recurrent oral aphthae [Recurrent aphthous stomatitis],"0.559 (0.53, 0.584)","0.583 (0.55, 0.61)","0.025 (0.001, 0.052)"
Neuro,phecode_330-12,Partial epilepsy,"0.587 (0.559, 0.62)","0.612 (0.573, 0.656)","0.025 (-0.017, 0.057)"
GI,phecode_525-1,Celiac disease,"0.508 (0.482, 0.537)","0.534 (0.506, 0.563)","0.025 (-0.016, 0.055)"
Neuro,phecode_336-52,Meralgia paresthetica,"0.472 (0.441, 0.5)","0.496 (0.471, 0.524)","0.025 (-0.01, 0.057)"
Derm,phecode_666-1,Allergic urticaria,"0.599 (0.575, 0.627)","0.621 (0.587, 0.654)","0.025 (-0.007, 0.054)"
ID,phecode_089-1,Bacterial infections,"0.552 (0.546, 0.559)","0.577 (0.57, 0.582)","0.024 (0.017, 0.029)"
Neuro,phecode_336-1,Carpal tunnel syndrome,"0.542 (0.534, 0.552)","0.566 (0.555, 0.577)","0.024 (0.013, 0.034)"
Neuro,phecode_341-2,Hemiplegia and hemiparesis,"0.667 (0.65, 0.685)","0.692 (0.669, 0.712)","0.024 (0.01, 0.041)"
Musc/Skel,phecode_710-4,Acquired deformities of the ankle and foot,"0.582 (0.563, 0.597)","0.605 (0.586, 0.621)","0.024 (0.009, 0.042)"
Eye,phecode_361-3,Ptosis of eyelid,"0.627 (0.606, 0.648)","0.652 (0.628, 0.673)","0.024 (0.009, 0.041)"
Blood,phecode_168-1,Hypo-coagulability,"0.592 (0.566, 0.617)","0.614 (0.594, 0.64)","0.024 (0.008, 0.039)"
Neuro,phecode_355-2,Alteration of consciousness,"0.621 (0.603, 0.646)","0.647 (0.625, 0.668)","0.024 (0.008, 0.039)"
Neuro,phecode_351-1,Anesthesia of skin*,"0.5 (0.487, 0.513)","0.524 (0.512, 0.537)","0.024 (0.008, 0.038)"
Metab,phecode_239-12,Familial hypercholesterolemia*,"0.598 (0.571, 0.624)","0.625 (0.594, 0.646)","0.024 (0.006, 0.045)"
Eye,phecode_366,Noninflammatory disorders of conjunctiva,"0.536 (0.52, 0.554)","0.559 (0.539, 0.58)","0.024 (0.003, 0.044)"
Genitourinary,phecode_588-2,Abnormal results of function study of kidney,"0.687 (0.653, 0.712)","0.71 (0.676, 0.739)","0.024 (0.002, 0.047)"
Signs/Symptoms,phecode_810,Shock,"0.722 (0.687, 0.754)","0.745 (0.71, 0.781)","0.024 (-0.004, 0.048)"
Hearing,phecode_391-2,Eustachian tube disorders,"0.53 (0.52, 0.538)","0.553 (0.543, 0.563)","0.023 (0.016, 0.029)"
Eye,phecode_376-2,Vitreous opacities,"0.612 (0.604, 0.618)","0.634 (0.626, 0.643)","0.023 (0.016, 0.028)"
Derm,phecode_668-5,Lichen simplex chronicus,"0.566 (0.542, 0.596)","0.591 (0.558, 0.617)","0.023 (0.002, 0.049)"
Eye,phecode_366-42,Conjunctival hyperemia,"0.516 (0.473, 0.552)","0.538 (0.502, 0.576)","0.023 (-0.008, 0.061)"
Eye,phecode_376,Disorders of vitreous body,"0.612 (0.604, 0.619)","0.635 (0.627, 0.642)","0.022 (0.017, 0.029)"
Mental,phecode_283-8,Other problems related to lifestyle,"0.513 (0.508, 0.518)","0.535 (0.529, 0.538)","0.022 (0.017, 0.027)"
Musc/Skel,phecode_733,"Dentofacial anomalies, including malocclusion","0.587 (0.572, 0.605)","0.607 (0.591, 0.624)","0.022 (0.012, 0.032)"
Eye,phecode_376-21,Crystalline deposits in vitreous body,"0.592 (0.571, 0.608)","0.614 (0.601, 0.629)","0.022 (0.01, 0.035)"
Musc/Skel,phecode_733-6,Temporomandibular joint disorders,"0.587 (0.575, 0.599)","0.609 (0.595, 0.621)","0.022 (0.01, 0.031)"
Neuro,phecode_335,Nerve root and plexus disorders,"0.543 (0.527, 0.558)","0.565 (0.553, 0.578)","0.022 (0.009, 0.035)"
Neoplasms,phecode_135-5,Benign neoplasm of the paranasal sinus and nasal cavity,"0.555 (0.535, 0.569)","0.577 (0.559, 0.597)","0.022 (0.008, 0.041)"
GI,phecode_550-2,Cholecystitis,"0.535 (0.52, 0.55)","0.559 (0.539, 0.577)","0.022 (0.006, 0.045)"
ID,phecode_061,Influenza virus,"0.56 (0.538, 0.586)","0.582 (0.559, 0.611)","0.022 (0.004, 0.041)"
Genitourinary,phecode_588,Disorders and findings from impaired renal function,"0.655 (0.624, 0.692)","0.678 (0.647, 0.716)","0.022 (0.002, 0.046)"
Eye,phecode_361-4,Blepharochalasis,"0.623 (0.59, 0.653)","0.643 (0.603, 0.68)","0.022 (-0.01, 0.052)"
Neoplasms,phecode_149-3,Benign neoplasm of the parathyroid gland,"0.64 (0.61, 0.671)","0.661 (0.633, 0.694)","0.022 (-0.009, 0.047)"
Derm,phecode_660-6,Cellulitis and abscess,"0.538 (0.533, 0.543)","0.559 (0.554, 0.564)","0.021 (0.016, 0.026)"
Genitourinary,phecode_582,Acute kidney failure,"0.705 (0.696, 0.711)","0.725 (0.718, 0.731)","0.021 (0.014, 0.028)"
Endo,phecode_200-9,Abnormal thyroid function studies,"0.593 (0.57, 0.616)","0.614 (0.587, 0.638)","0.021 (0.005, 0.033)"
Musc/Skel,phecode_731,Symptoms involving musculoskeletal systems,"0.496 (0.485, 0.507)","0.516 (0.503, 0.526)","0.021 (0.004, 0.032)"
GI,phecode_530-2,Anorectal abscess,"0.596 (0.566, 0.632)","0.615 (0.58, 0.652)","0.021 (-0.007, 0.046)"
Eye,phecode_374-52,"Macular cyst, hole, or pseudohole","0.663 (0.643, 0.685)","0.686 (0.663, 0.707)","0.021 (-0.002, 0.045)"
Resp,phecode_462-2,Chronic sinusitis,"0.54 (0.531, 0.547)","0.559 (0.551, 0.567)","0.02 (0.015, 0.025)"
Musc/Skel,phecode_719-1,Cramp and spasm,"0.577 (0.567, 0.588)","0.598 (0.587, 0.608)","0.02 (0.012, 0.028)"
Musc/Skel,phecode_723-1,Adhesive capsulitis of shoulder,"0.536 (0.527, 0.548)","0.557 (0.546, 0.567)","0.02 (0.011, 0.033)"
Derm,phecode_684-1,Alopecia,"0.687 (0.677, 0.697)","0.708 (0.697, 0.717)","0.02 (0.011, 0.029)"
Neuro,phecode_333-2,Insomnia,"0.541 (0.531, 0.551)","0.561 (0.551, 0.569)","0.02 (0.01, 0.029)"
Genitourinary,phecode_585,Kidney stone disease,"0.592 (0.58, 0.604)","0.612 (0.598, 0.624)","0.02 (0.01, 0.027)"
Resp,phecode_495,Abnormal findings on diagnostic imaging of lung,"0.645 (0.634, 0.658)","0.666 (0.655, 0.678)","0.02 (0.009, 0.031)"
GI,phecode_513-2,Gastric ulcer,"0.589 (0.572, 0.603)","0.608 (0.591, 0.623)","0.02 (0.003, 0.033)"
ID,phecode_002-1,Staphylococcus aureus,"0.581 (0.561, 0.606)","0.601 (0.577, 0.621)","0.02 (0.002, 0.041)"
Resp,phecode_468-1,Viral pneumonia,"0.632 (0.596, 0.666)","0.652 (0.617, 0.685)","0.02 (-0.009, 0.055)"
Neuro,phecode_330-1,Epilepsy,"0.563 (0.543, 0.584)","0.584 (0.558, 0.606)","0.02 (-0.009, 0.042)"
Neoplasms,phecode_148-1,Benign neoplasm of eye,"0.572 (0.539, 0.603)","0.594 (0.565, 0.617)","0.02 (-0.006, 0.046)"
Neoplasms,phecode_139-61,Hemangioma,"0.498 (0.48, 0.516)","0.516 (0.496, 0.537)","0.02 (-0.006, 0.04)"
ID,phecode_056,Human papillomavirus,"0.492 (0.482, 0.5)","0.511 (0.501, 0.518)","0.019 (0.007, 0.029)"
Neuro,phecode_329-9,Delirium,"0.75 (0.732, 0.763)","0.769 (0.753, 0.783)","0.019 (0.007, 0.029)"
Derm,phecode_664-1,"Lichen planus, nitidus, or striatus","0.579 (0.56, 0.596)","0.597 (0.58, 0.612)","0.019 (0.002, 0.031)"
Derm,phecode_660-11,Candidiasis of skin and nails,"0.543 (0.527, 0.559)","0.563 (0.545, 0.575)","0.019 (0.001, 0.04)"
Musc/Skel,phecode_719-7,Muscle weakness (generalized),"0.55 (0.524, 0.575)","0.568 (0.545, 0.599)","0.019 (-0.01, 0.048)"
Neuro,phecode_324-34,Torticollis,"0.53 (0.511, 0.546)","0.549 (0.528, 0.567)","0.019 (-0.001, 0.038)"
Musc/Skel,phecode_719,Disorders of muscle,"0.565 (0.554, 0.573)","0.583 (0.575, 0.593)","0.018 (0.011, 0.027)"
Musc/Skel,phecode_713-2,Effusion of joint,"0.578 (0.57, 0.586)","0.596 (0.587, 0.604)","0.018 (0.011, 0.026)"
Cardio,phecode_402,Elevated blood pressure reading without diagnosis of hypertension,"0.536 (0.529, 0.543)","0.554 (0.546, 0.561)","0.018 (0.01, 0.025)"
GI,phecode_545,Nonspecific abnormal results of function study of liver,"0.544 (0.533, 0.553)","0.561 (0.553, 0.572)","0.018 (0.008, 0.029)"
Musc/Skel,phecode_706,Other inflammatory spondylopathies,"0.585 (0.565, 0.603)","0.604 (0.586, 0.62)","0.018 (0.006, 0.032)"
Neuro,phecode_349-13,Abnormal findings on diagnostic imaging of skull and head,"0.627 (0.607, 0.65)","0.647 (0.622, 0.672)","0.018 (0.004, 0.039)"
Cardio,phecode_417-2,Tachycardia,"0.596 (0.583, 0.613)","0.615 (0.602, 0.628)","0.018 (0.004, 0.03)"
Derm,phecode_679-3,Changes in skin texture,"0.581 (0.57, 0.596)","0.599 (0.585, 0.614)","0.018 (0.003, 0.03)"
GI,phecode_555,Ascites,"0.642 (0.622, 0.66)","0.66 (0.635, 0.679)","0.018 (0.002, 0.037)"
Neuro,phecode_349-1,Abnormal findings on diagnostic test of central nervous system,"0.612 (0.594, 0.638)","0.633 (0.609, 0.654)","0.018 (0.001, 0.039)"
Signs/Symptoms,phecode_826,Other abnormal immunological findings in serum,"0.521 (0.499, 0.55)","0.537 (0.507, 0.562)","0.018 (-0.016, 0.045)"
Musc/Skel,phecode_718-4,Low back pain,"0.517 (0.512, 0.522)","0.534 (0.529, 0.538)","0.017 (0.011, 0.022)"
ID,phecode_003,Escherichia coli,"0.599 (0.588, 0.611)","0.617 (0.601, 0.63)","0.017 (0.008, 0.027)"
Endo,phecode_204-1,Impaired fasting glucose,"0.608 (0.591, 0.618)","0.625 (0.609, 0.641)","0.017 (0.006, 0.028)"
Eye,phecode_375-6,Ocular hypertension,"0.591 (0.577, 0.604)","0.607 (0.594, 0.624)","0.017 (0.003, 0.03)"
GI,phecode_516,Other diseases of stomach and duodenum,"0.586 (0.566, 0.601)","0.602 (0.589, 0.62)","0.017 (0.003, 0.029)"
Neuro,phecode_348,Other diseases of spinal cord,"0.563 (0.548, 0.582)","0.58 (0.562, 0.603)","0.017 (0.002, 0.033)"
Blood,phecode_179,Immunodeficiencies,"0.465 (0.437, 0.497)","0.483 (0.455, 0.51)","0.017 (-0.019, 0.051)"
Eye,phecode_360-12,Hordeolum internum,"0.544 (0.513, 0.57)","0.56 (0.525, 0.586)","0.017 (-0.015, 0.041)"
Neoplasms,phecode_148-16,Benign neoplasm of choroid,"0.58 (0.557, 0.613)","0.596 (0.569, 0.626)","0.017 (-0.011, 0.044)"
Resp,phecode_480,Pulmonary edema,"0.709 (0.681, 0.737)","0.726 (0.696, 0.759)","0.017 (-0.002, 0.04)"
ID,phecode_002,Staphylococcus,"0.605 (0.583, 0.623)","0.622 (0.601, 0.639)","0.017 (-0.002, 0.036)"
Cardio,phecode_401,Hypertension,"0.626 (0.623, 0.63)","0.642 (0.638, 0.646)","0.016 (0.014, 0.019)"
Cardio,phecode_401-1,Essential hypertension,"0.626 (0.622, 0.63)","0.642 (0.638, 0.647)","0.016 (0.014, 0.019)"
Resp,phecode_488,Abnormalities of breathing,"0.57 (0.565, 0.575)","0.586 (0.581, 0.591)","0.016 (0.013, 0.02)"
Resp,phecode_460-2,Acute lower respiratory infection,"0.559 (0.555, 0.563)","0.575 (0.572, 0.579)","0.016 (0.013, 0.02)"
Musc/Skel,phecode_718,Back pain,"0.518 (0.513, 0.522)","0.534 (0.529, 0.537)","0.016 (0.012, 0.02)"
Eye,phecode_386,Visual disturbances,"0.588 (0.579, 0.595)","0.605 (0.596, 0.613)","0.016 (0.011, 0.024)"
Neoplasms,phecode_138,Benign neoplasm of the skin,"0.528 (0.522, 0.535)","0.544 (0.537, 0.55)","0.016 (0.01, 0.021)"
Derm,phecode_684,Diseases of hair and hair follicles,"0.695 (0.684, 0.704)","0.711 (0.7, 0.721)","0.016 (0.009, 0.025)"
Neuro,phecode_325-2,Abnormality of gait and mobility,"0.647 (0.639, 0.656)","0.662 (0.655, 0.671)","0.016 (0.009, 0.023)"
Neuro,phecode_336,Mononeuropathies,"0.544 (0.537, 0.552)","0.56 (0.554, 0.567)","0.016 (0.009, 0.022)"
Resp,phecode_486-5,Abnormal sputum,"0.555 (0.547, 0.562)","0.571 (0.563, 0.58)","0.016 (0.009, 0.022)"
Resp,phecode_496,Abnormal results of pulmonary function studies,"0.58 (0.57, 0.591)","0.597 (0.587, 0.608)","0.016 (0.008, 0.024)"
GI,phecode_524-1,Irritable bowel syndrome,"0.606 (0.595, 0.617)","0.621 (0.611, 0.635)","0.016 (0.007, 0.026)"
Metab,phecode_256-5,Hypokalemia [Hypopotassemia],"0.638 (0.624, 0.655)","0.655 (0.643, 0.668)","0.016 (0.005, 0.029)"
Resp,phecode_464-1,Acute nasopharyngitis,"0.534 (0.523, 0.543)","0.55 (0.538, 0.563)","0.016 (0.005, 0.027)"
Resp,phecode_464,Nasopharyngitis,"0.534 (0.521, 0.547)","0.549 (0.539, 0.562)","0.016 (0.003, 0.028)"
ID,phecode_012,Proteus,"0.675 (0.627, 0.723)","0.689 (0.64, 0.742)","0.016 (-0.034, 0.061)"
Hearing,phecode_391-11,Acute otitis media,"0.506 (0.474, 0.536)","0.521 (0.491, 0.552)","0.016 (-0.017, 0.053)"
Derm,phecode_679-22,Flushing,"0.562 (0.535, 0.592)","0.578 (0.556, 0.602)","0.016 (-0.004, 0.04)"
GI,phecode_515,Heartburn and epigastric pain,"0.553 (0.545, 0.563)","0.569 (0.562, 0.578)","0.015 (0.01, 0.023)"
Resp,phecode_468,Pneumonia,"0.665 (0.657, 0.671)","0.68 (0.672, 0.687)","0.015 (0.01, 0.021)"
Derm,phecode_679-4,Pruritus,"0.554 (0.547, 0.562)","0.57 (0.562, 0.576)","0.015 (0.01, 0.02)"
Cardio,phecode_448,Peripheral vascular disease,"0.613 (0.601, 0.628)","0.629 (0.616, 0.643)","0.015 (0.009, 0.024)"
Signs/Symptoms,phecode_841-4,Allergy to analgesic agent,"0.624 (0.612, 0.633)","0.638 (0.626, 0.648)","0.015 (0.009, 0.021)"
Resp,phecode_468-9,Lobar pneumonia*,"0.675 (0.667, 0.683)","0.689 (0.681, 0.699)","0.015 (0.008, 0.022)"
Eye,phecode_361,Disorders of eyelid function,"0.64 (0.629, 0.655)","0.655 (0.642, 0.672)","0.015 (0.004, 0.026)"
Derm,phecode_685,Disorders of sweat glands,"0.55 (0.536, 0.561)","0.565 (0.553, 0.578)","0.015 (0.003, 0.028)"
Neuro,phecode_355,Coma and other alteration of consciousness,"0.61 (0.593, 0.631)","0.626 (0.61, 0.641)","0.015 (0.001, 0.029)"
Musc/Skel,phecode_716-2,Degenerative disc disease,"0.525 (0.508, 0.539)","0.54 (0.524, 0.551)","0.015 (0, 0.03)"
Derm,phecode_688,Granulomatous disorder of the skin,"0.507 (0.478, 0.527)","0.522 (0.501, 0.543)","0.015 (-0.005, 0.034)"
Neoplasms,phecode_138-1,"Nevus, non-neoplastic","0.532 (0.508, 0.552)","0.546 (0.527, 0.564)","0.015 (-0.005, 0.034)"
GI,phecode_556-3,"Abdominal or pelvic swelling, mass, or lump","0.543 (0.53, 0.559)","0.559 (0.542, 0.572)","0.015 (-0.001, 0.029)"
Musc/Skel,phecode_724,Other symptoms and disorders of the soft tissue,"0.55 (0.543, 0.555)","0.565 (0.56, 0.57)","0.014 (0.01, 0.019)"
Signs/Symptoms,phecode_840,Allergy,"0.541 (0.534, 0.545)","0.554 (0.547, 0.56)","0.014 (0.009, 0.017)"
Neoplasms,phecode_138-2,Melanocytic nevi*,"0.544 (0.537, 0.553)","0.559 (0.551, 0.567)","0.014 (0.008, 0.019)"
Blood,phecode_177,Abnormality of the lymph nodes,"0.555 (0.547, 0.565)","0.57 (0.56, 0.58)","0.014 (0.006, 0.024)"
Derm,phecode_668-2,Seborrheic dermatitis,"0.541 (0.53, 0.551)","0.555 (0.544, 0.566)","0.014 (0.006, 0.022)"
Musc/Skel,phecode_716,Intervertebral disc disorder,"0.535 (0.527, 0.544)","0.548 (0.539, 0.556)","0.014 (0.005, 0.02)"
Derm,phecode_680,Epidermal thickening,"0.586 (0.576, 0.595)","0.598 (0.589, 0.61)","0.014 (0.005, 0.019)"
Derm,phecode_674,Disorders of pigmentation,"0.545 (0.533, 0.556)","0.558 (0.548, 0.57)","0.014 (0.003, 0.022)"
Endo,phecode_209,Disorders of the pituitary gland and its hypothalamic control,"0.609 (0.582, 0.648)","0.621 (0.584, 0.657)","0.014 (-0.022, 0.038)"
ID,phecode_007-1,Hemophilus influenzae,"0.595 (0.552, 0.627)","0.611 (0.566, 0.659)","0.014 (-0.012, 0.056)"
GI,phecode_559,"Other disease of digestive system, NOS","0.523 (0.493, 0.548)","0.537 (0.508, 0.561)","0.014 (-0.011, 0.036)"
GI,phecode_517,Gastrointestinal angiodysplasia,"0.68 (0.649, 0.712)","0.692 (0.663, 0.725)","0.014 (-0.01, 0.04)"
GI,phecode_537,Abnormality of the peritoneum,"0.54 (0.521, 0.57)","0.557 (0.533, 0.583)","0.014 (-0.006, 0.036)"
Neuro,phecode_327,Other degenerative diseases of nervous system,"0.692 (0.667, 0.72)","0.707 (0.683, 0.729)","0.014 (-0.003, 0.036)"
Musc/Skel,phecode_711-1,Derangement of meniscus,"0.524 (0.51, 0.535)","0.538 (0.525, 0.548)","0.014 (-0.001, 0.028)"
